Graph Number,precision overall,recall overall,tp_overall,fp_overall,tn_overall,fn_overall,precision oo,recall oo,tp_oo,fp_oo,tn_oo,fn_oo,precision oon,recall oon,tp_oon,fp_oon,tn_oon,fn_oon,precision on,recall on,tp_on,fp_on,tn_on,fn_on,precision nn,recall nn,tp_nn,fp_nn,tn_nn,fn_nn,Correct Node IDs,Correct Old Node IDs,Precision Old IDs,Recall Old IDs,Correct New Node IDs,Precision New IDs,Recall New IDs,Correct Overall IDs,Precision Overall IDs,Recall Overall IDs
26,0.0,0.0,0,0,1540,20,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,1543,17,0.0,0.0,0,0,1403,3,0.023296447291788,2,0.05263157894736842,0.3333333333333333,38,0.022632519356759976,0.022209234365867914,40,0.023296447291788,0.023296447291788
27,0.0,0.0,0,0,1539,21,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,1544,16,0.0,0.0,0,0,1401,5,0.0253324889170361,2,0.05405405405405406,0.2857142857142857,38,0.02464332036316472,0.024173027989821884,40,0.0253324889170361,0.0253324889170361
28,0.0,0.0,0,0,414,6,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,416,4,0.0,0.0,0,0,340,2,0.014227642276422764,2,0.05555555555555555,0.2857142857142857,19,0.013194444444444444,0.012933968686181076,21,0.014227642276422764,0.014227642276422764
29,0.0,0.0,0,0,371,9,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,371,9,0.0,0.0,0,0,306,0,0.014619883040935672,2,0.05128205128205128,0.2857142857142857,18,0.013544018058690745,0.01322556943423953,20,0.014619883040935672,0.014619883040935672
30,0.0,0.0,0,0,69,3,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,69,3,0.0,0.0,0,0,42,0,0.006622516556291391,2,0.05714285714285714,0.25,7,0.005287009063444109,0.0051813471502590676,9,0.006622516556291391,0.006622516556291391
31,0.0,0.0,0,0,27,3,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,27,3,0.0,0.0,0,0,12,0,0.00450112528132033,2,0.041666666666666664,0.2857142857142857,4,0.0031128404669260703,0.0030165912518853697,6,0.00450112528132033,0.00450112528132033
32,0.0,0.0,0,0,67,5,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,67,5,0.0,0.0,0,0,42,0,0.006928406466512702,2,0.05405405405405406,0.2857142857142857,7,0.005546751188589541,0.005417956656346749,9,0.006928406466512702,0.006928406466512702
33,0.0,0.0,0,0,18,2,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,18,2,0.0,0.0,0,0,6,0,0.0037593984962406013,2,0.04878048780487805,0.4,3,0.0023273855702094647,0.0022641509433962265,5,0.0037593984962406013,0.0037593984962406013
34,0.0,0.0,0,0,6,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,6,0,0.0,0.0,0,0,0,0,0.0022641509433962265,2,0.05128205128205128,0.5,1,0.0007776049766718507,0.000757002271006813,3,0.0022641509433962265,0.0022641509433962265
35,0.0,0.0,0,1,18,1,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,1,18,1,0.0,0.0,0,0,2,0,0.0038402457757296467,2,0.047619047619047616,0.5,2,0.0015873015873015873,0.0015408320493066256,5,0.0038402457757296467,0.0038402457757296467
