dataset,hidden_dim,learning_rate,num_epochs,num_layers,aucroc,loss
networkcoindash,128,0.0001,500,2,0.5395833333333333,714009.2578125
networkcoindash,128,0.0001,750,2,0.5395833333333333,772427.640625
networkcoindash,128,0.0001,1000,2,0.5395833333333333,777945.5234375
networkcoindash,128,0.001,500,2,0.5395833333333333,779016.7734375
networkcoindash,128,0.001,750,2,0.5395833333333333,779015.390625
networkcoindash,128,0.001,1000,2,0.5395833333333333,779015.8203125
networkcoindash,256,0.0001,500,2,0.5395833333333333,770304.390625
networkcoindash,256,0.0001,750,2,0.5395833333333333,778358.40625
networkcoindash,256,0.0001,1000,2,0.5395833333333333,778933.1796875
networkcoindash,256,0.001,500,2,0.5395833333333333,779011.109375
networkcoindash,256,0.001,750,2,0.5395833333333333,779010.5625
networkcoindash,256,0.001,1000,2,0.5395833333333333,779011.875
networkcoindash,512,0.0001,500,2,0.5395833333333333,778136.515625
networkcoindash,512,0.0001,750,2,0.5395833333333333,778964.078125
networkcoindash,512,0.0001,1000,2,0.5395833333333333,779015.734375
networkcoindash,512,0.001,500,2,0.5395833333333333,779001.46875
networkcoindash,512,0.001,750,2,0.48469387755102045,779001.75
networkcoindash,512,0.001,1000,2,0.23076923076923078,779003.15625
mathoverflow,64,0.0001,500,2,0.583743842364532,1230.1195170084636
mathoverflow,64,0.0001,750,2,0.5208333333333333,1020.4336344401041
mathoverflow,64,0.0001,1000,2,0.46296296296296297,1052.3209838867188
mathoverflow,64,0.001,500,2,0.5538461538461539,916.9722493489584
mathoverflow,64,0.001,750,2,0.583743842364532,917.0492350260416
mathoverflow,64,0.001,1000,2,0.583743842364532,917.0893961588541
mathoverflow,128,0.0001,500,2,0.5538461538461539,933.2281290690104
mathoverflow,128,0.0001,750,2,0.4125,1158.2129720052083
mathoverflow,128,0.0001,1000,2,0.5982142857142857,1978.5592956542969
mathoverflow,128,0.001,500,2,0.5982142857142857,917.0835571289062
mathoverflow,128,0.001,750,2,0.5690909090909091,917.0398152669271
mathoverflow,128,0.001,1000,2,0.583743842364532,917.4561157226562
mathoverflow,256,0.0001,500,2,0.41666666666666663,1091.3370768229167
mathoverflow,256,0.0001,750,2,0.5538461538461539,2035.3121134440105
mathoverflow,256,0.0001,1000,2,0.41875,2073.2262166341147
mathoverflow,256,0.001,500,2,0.6111111111111112,915.2454427083334
mathoverflow,256,0.001,750,2,0.583743842364532,915.5384318033854
mathoverflow,256,0.001,1000,2,0.583743842364532,915.048583984375
mathoverflow,512,0.0001,500,2,0.5538461538461539,1123.1155598958333
mathoverflow,512,0.0001,750,2,0.5208333333333333,1200.321044921875
mathoverflow,512,0.0001,1000,2,0.5303030303030303,2326.5782368977866
mathoverflow,512,0.001,500,2,0.6111111111111112,913.5526326497396
mathoverflow,512,0.001,750,2,0.583743842364532,914.2996622721354
mathoverflow,512,0.001,1000,2,0.583743842364532,916.5275065104166
