dataset,hidden_dim_1,hidden_dim_2,dropout,learning_rate,num_epochs,num_layers,aucroc,loss
CollegeMsg,128,128,0.001,0.2,500,3,0.7029914529914529,40406.072916666664
CollegeMsg,128,128,0.001,0.2,750,3,0.6785714285714286,40963.643229166664
CollegeMsg,128,128,0.001,0.2,1000,3,0.6785714285714286,40764.079427083336
CollegeMsg,128,256,0.0001,0.2,500,3,0.7016129032258064,32289.033854166668
CollegeMsg,128,256,0.0001,0.2,750,3,0.7016129032258064,38353.577473958336
CollegeMsg,128,256,0.0001,0.2,1000,3,0.7016129032258064,40218.798177083336
CollegeMsg,128,256,0.001,0.2,500,3,0.6785714285714286,40713.89453125
CollegeMsg,128,256,0.001,0.2,750,3,0.6785714285714286,40727.610677083336
CollegeMsg,128,256,0.001,0.2,1000,3,0.65,40480.723958333336
CollegeMsg,256,32,0.0001,0.2,500,3,0.6785714285714286,10308.501953125
CollegeMsg,256,32,0.0001,0.2,750,3,0.6785714285714286,18444.2705078125
CollegeMsg,256,32,0.0001,0.2,1000,3,0.6785714285714286,23951.534505208332
CollegeMsg,256,32,0.001,0.2,500,3,0.7029914529914529,39573.837239583336
CollegeMsg,256,32,0.001,0.2,750,3,0.7029914529914529,39510.8671875
CollegeMsg,256,32,0.001,0.2,1000,3,0.6785714285714286,39620.498697916664
CollegeMsg,256,64,0.0001,0.2,500,3,0.6785714285714286,18025.223307291668
CollegeMsg,256,64,0.0001,0.2,750,3,0.6785714285714286,25642.152994791668
CollegeMsg,256,64,0.0001,0.2,1000,3,0.7155172413793104,31183.938802083332
CollegeMsg,256,64,0.001,0.2,500,3,0.7029914529914529,40043.838541666664
CollegeMsg,256,64,0.001,0.2,750,3,0.7029914529914529,40084.99609375
CollegeMsg,256,64,0.001,0.2,1000,3,0.7029914529914529,40028.8359375
CollegeMsg,256,128,0.0001,0.2,500,3,0.7155172413793104,25265.3828125
CollegeMsg,256,128,0.0001,0.2,750,3,0.7016129032258064,32820.084635416664
