dataset,hidden_dim,learning_rate,num_epochs,num_layers,aucroc,loss
networkaragon,256,0.001,500,2,0.33333333333333337,884960.475
networkaragon,256,0.001,750,2,0.33333333333333337,884960.225
networkaragon,256,0.001,1000,2,0.33333333333333337,884959.6875
networkaragon,512,0.0001,500,2,0.33333333333333337,881443.8625
networkaragon,512,0.0001,750,2,0.33333333333333337,881552.15
networkaragon,512,0.0001,1000,2,0.33333333333333337,881552.25
networkaragon,512,0.001,500,2,0.33333333333333337,886612.4125
networkaragon,512,0.001,750,2,0.33333333333333337,886612.8625
networkaragon,512,0.001,1000,2,0.33076923076923076,886612.7125
networkcoindash,64,0.0001,500,2,0.23076923076923078,515020.9609375
networkcoindash,64,0.0001,750,2,0.48529411764705876,729327.53125
networkcoindash,64,0.0001,1000,2,0.23076923076923078,769569.9140625
networkcoindash,64,0.001,500,2,0.23076923076923078,779020.9921875
networkcoindash,64,0.001,750,2,0.23076923076923078,779021.4921875
networkcoindash,64,0.001,1000,2,0.23076923076923078,779020.4609375
networkcoindash,128,0.0001,500,2,0.48529411764705876,715349.1015625
networkcoindash,128,0.0001,750,2,0.23076923076923078,772683.15625
networkcoindash,128,0.0001,1000,2,0.48529411764705876,778018.78125
networkcoindash,128,0.001,500,2,0.23076923076923078,779017.046875
networkcoindash,128,0.001,750,2,0.23076923076923078,779016.78125
networkcoindash,128,0.001,1000,2,0.23076923076923078,779017.890625
networkcoindash,256,0.0001,500,2,0.48529411764705876,770560.96875
networkcoindash,256,0.0001,750,2,0.23076923076923078,778307.9453125
networkcoindash,256,0.0001,1000,2,0.5277777777777778,585036.69921875
networkcoindash,256,0.001,500,2,0.23076923076923078,779011.8046875
networkcoindash,256,0.001,750,2,0.48529411764705876,779012.265625
networkcoindash,256,0.001,1000,2,0.23076923076923078,779010.9453125
networkcoindash,512,0.0001,500,2,0.23076923076923078,778130.09375
networkcoindash,512,0.0001,750,2,0.23076923076923078,778971.890625
networkcoindash,512,0.0001,1000,2,0.50997150997151,565635.08203125
networkcoindash,512,0.001,500,2,0.23076923076923078,779002.96875
networkcoindash,512,0.001,750,2,0.23076923076923078,779000.4609375
