Epoch 300 | Edge Type: o-o-bank | Train Loss: 0.8547 | Train AUCROC 0.9976
Epoch 400 | Edge Type: o-o-bank | Train Loss: 0.7849 | Train AUCROC 0.9977
Epoch 500 | Edge Type: o-o-bank | Train Loss: 0.7012 | Train AUCROC 0.9984

Epoch 100 | Edge Type: o-o-nobank | Train Loss: 10.3358 | Train AUCROC 0.8795
Epoch 200 | Edge Type: o-o-nobank | Train Loss: 10.0508 | Train AUCROC 0.8878
Epoch 300 | Edge Type: o-o-nobank | Train Loss: 9.1444 | Train AUCROC 0.9068
Epoch 400 | Edge Type: o-o-nobank | Train Loss: 9.1202 | Train AUCROC 0.9076
Epoch 500 | Edge Type: o-o-nobank | Train Loss: 8.8715 | Train AUCROC 0.9124

Epoch 100 | Edge Type: o-n | Train Loss: 3.2409 | Train AUCROC 0.9207
Epoch 200 | Edge Type: o-n | Train Loss: 2.7724 | Train AUCROC 0.9441
Epoch 300 | Edge Type: o-n | Train Loss: 2.3706 | Train AUCROC 0.9542
Epoch 400 | Edge Type: o-n | Train Loss: 2.2190 | Train AUCROC 0.9619
Epoch 500 | Edge Type: o-n | Train Loss: 2.0028 | Train AUCROC 0.9693

Epoch 100 | Edge Type: n-n | Train Loss: 1.7091 | Train AUCROC 0.8209
Epoch 200 | Edge Type: n-n | Train Loss: 1.7460 | Train AUCROC 0.8306
Epoch 300 | Edge Type: n-n | Train Loss: 1.6043 | Train AUCROC 0.8307
Epoch 400 | Edge Type: n-n | Train Loss: 1.7915 | Train AUCROC 0.8458
Epoch 500 | Edge Type: n-n | Train Loss: 1.5767 | Train AUCROC 0.8491

Epoch 100 | Edge Type: o-o-bank | Train Loss: 14.7463 | Train AUCROC 0.9765
Epoch 200 | Edge Type: o-o-bank | Train Loss: 13.6901 | Train AUCROC 0.9782
Epoch 300 | Edge Type: o-o-bank | Train Loss: 12.3980 | Train AUCROC 0.9833
Epoch 400 | Edge Type: o-o-bank | Train Loss: 11.1978 | Train AUCROC 0.9891
Epoch 500 | Edge Type: o-o-bank | Train Loss: 11.1392 | Train AUCROC 0.9886

Epoch 100 | Edge Type: o-o-nobank | Train Loss: 15.2044 | Train AUCROC 0.8471
Epoch 200 | Edge Type: o-o-nobank | Train Loss: 14.1798 | Train AUCROC 0.8678
Epoch 300 | Edge Type: o-o-nobank | Train Loss: 14.0214 | Train AUCROC 0.8713
Epoch 400 | Edge Type: o-o-nobank | Train Loss: 13.3422 | Train AUCROC 0.8856
Epoch 500 | Edge Type: o-o-nobank | Train Loss: 13.2189 | Train AUCROC 0.8869

Epoch 100 | Edge Type: o-n | Train Loss: 4.9294 | Train AUCROC 0.9059
Epoch 200 | Edge Type: o-n | Train Loss: 4.6654 | Train AUCROC 0.9135
Epoch 300 | Edge Type: o-n | Train Loss: 4.2052 | Train AUCROC 0.9326
Epoch 400 | Edge Type: o-n | Train Loss: 3.9551 | Train AUCROC 0.9421
Epoch 500 | Edge Type: o-n | Train Loss: 3.6732 | Train AUCROC 0.9483

Epoch 100 | Edge Type: n-n | Train Loss: 1.5159 | Train AUCROC 0.8426
Epoch 200 | Edge Type: n-n | Train Loss: 1.4795 | Train AUCROC 0.8601
Epoch 300 | Edge Type: n-n | Train Loss: 1.4526 | Train AUCROC 0.8654
Epoch 400 | Edge Type: n-n | Train Loss: 1.4543 | Train AUCROC 0.8690
Epoch 500 | Edge Type: n-n | Train Loss: 1.4187 | Train AUCROC 0.8703

Epoch 100 | Edge Type: o-o-bank | Train Loss: 12.2604 | Train AUCROC 0.9693
Epoch 200 | Edge Type: o-o-bank | Train Loss: 10.8729 | Train AUCROC 0.9738
Epoch 300 | Edge Type: o-o-bank | Train Loss: 10.2905 | Train AUCROC 0.9759
Epoch 400 | Edge Type: o-o-bank | Train Loss: 9.1812 | Train AUCROC 0.9806
Epoch 500 | Edge Type: o-o-bank | Train Loss: 8.5458 | Train AUCROC 0.9820

Epoch 100 | Edge Type: o-o-nobank | Train Loss: 21.2243 | Train AUCROC 0.8518
Epoch 200 | Edge Type: o-o-nobank | Train Loss: 20.2854 | Train AUCROC 0.8677
Epoch 300 | Edge Type: o-o-nobank | Train Loss: 20.2904 | Train AUCROC 0.8656
Epoch 400 | Edge Type: o-o-nobank | Train Loss: 18.9575 | Train AUCROC 0.8821
Epoch 500 | Edge Type: o-o-nobank | Train Loss: 18.8671 | Train AUCROC 0.8815

Epoch 100 | Edge Type: o-n | Train Loss: 6.6985 | Train AUCROC 0.8978
Epoch 200 | Edge Type: o-n | Train Loss: 5.6461 | Train AUCROC 0.9280
Epoch 300 | Edge Type: o-n | Train Loss: 5.3725 | Train AUCROC 0.9374
Epoch 400 | Edge Type: o-n | Train Loss: 5.1854 | Train AUCROC 0.9433
Epoch 500 | Edge Type: o-n | Train Loss: 4.8092 | Train AUCROC 0.9520

Epoch 100 | Edge Type: n-n | Train Loss: 1.3898 | Train AUCROC 0.8595
Epoch 200 | Edge Type: n-n | Train Loss: 1.3939 | Train AUCROC 0.8678
Epoch 300 | Edge Type: n-n | Train Loss: 1.3839 | Train AUCROC 0.8678
Epoch 400 | Edge Type: n-n | Train Loss: 1.3727 | Train AUCROC 0.8720
Epoch 500 | Edge Type: n-n | Train Loss: 1.3651 | Train AUCROC 0.8716

Epoch 100 | Edge Type: o-o-bank | Train Loss: 33.0144 | Train AUCROC 0.9088
Epoch 200 | Edge Type: o-o-bank | Train Loss: 29.0305 | Train AUCROC 0.9289
Epoch 300 | Edge Type: o-o-bank | Train Loss: 27.8367 | Train AUCROC 0.9339
Epoch 400 | Edge Type: o-o-bank | Train Loss: 27.8146 | Train AUCROC 0.9344
Epoch 500 | Edge Type: o-o-bank | Train Loss: 25.7003 | Train AUCROC 0.9437

Epoch 100 | Edge Type: o-o-nobank | Train Loss: 28.2541 | Train AUCROC 0.8432
Epoch 200 | Edge Type: o-o-nobank | Train Loss: 27.0246 | Train AUCROC 0.8575
Epoch 300 | Edge Type: o-o-nobank | Train Loss: 26.3703 | Train AUCROC 0.8627
Epoch 400 | Edge Type: o-o-nobank | Train Loss: 26.0361 | Train AUCROC 0.8661
Epoch 500 | Edge Type: o-o-nobank | Train Loss: 26.4187 | Train AUCROC 0.8628

Epoch 100 | Edge Type: o-n | Train Loss: 8.4442 | Train AUCROC 0.8950
Epoch 200 | Edge Type: o-n | Train Loss: 7.9072 | Train AUCROC 0.9075
Epoch 300 | Edge Type: o-n | Train Loss: 8.1891 | Train AUCROC 0.9005
Epoch 400 | Edge Type: o-n | Train Loss: 7.6544 | Train AUCROC 0.9155
Epoch 500 | Edge Type: o-n | Train Loss: 7.0840 | Train AUCROC 0.9283

Epoch 100 | Edge Type: n-n | Train Loss: 2.0402 | Train AUCROC 0.8762
Epoch 200 | Edge Type: n-n | Train Loss: 1.5514 | Train AUCROC 0.8778
Epoch 300 | Edge Type: n-n | Train Loss: 1.8776 | Train AUCROC 0.8779
Epoch 400 | Edge Type: n-n | Train Loss: 1.8336 | Train AUCROC 0.8775
Epoch 500 | Edge Type: n-n | Train Loss: 2.1955 | Train AUCROC 0.8771

Epoch 100 | Edge Type: o-o-bank | Train Loss: 58.5220 | Train AUCROC 0.8454
Epoch 200 | Edge Type: o-o-bank | Train Loss: 54.2437 | Train AUCROC 0.8669
Epoch 300 | Edge Type: o-o-bank | Train Loss: 50.9246 | Train AUCROC 0.8849
