dataset,decay_factor,alpha,beta,mean_precision,std_precision,mode_precision,min_precision,max_precision,mean_recall,std_recall,mode_recall,min_recall,max_recall,mean_f1,std_f1,mode_f1,min_f1,max_f1
networkadex,0,0.5,2.0,0.2055175871454335,0.09362249073671029,0.12698412698412698,0.044444444444444446,0.5238095238095238,0.04563244538993513,0.027424340198348485,0.047619047619047616,0.004101722723543888,0.1652892561983471,0.07390010584939155,0.041737025501525374,0.06504065040650406,0.00801924619085806,0.22680412371134023
networkadex,0,0.5,3.0,0.26811955491839284,0.1107747625558572,0.25,0.05,0.6,0.05877159064485808,0.030482886934987997,0.029411764705882353,0.004922067268252666,0.15625,0.09545188409207045,0.04690805286628238,0.08163265306122448,0.009623095429029671,0.24299065420560748
networkadex,0,0.5,5.0,0.31945772101384307,0.12434846874106378,0.5,0.08333333333333333,0.6666666666666666,0.06999676719439055,0.034599356954888104,0.08333333333333333,0.004922067268252666,0.19008264462809918,0.11367461708575455,0.05287764175088472,0.13333333333333333,0.009623095429029671,0.2736842105263158
networkadex,0,0.75,0,0.07724158130056853,0.04897801263811415,0.0,0.0,0.38095238095238093,0.017148192293115247,0.012555944980239713,0.0,0.0,0.09411764705882353,0.027754168356382388,0.019586560315827603,0.0,0.0,0.1509433962264151
networkadex,0,0.75,0.1,0.08266350403273119,0.04834672423297427,0.0,0.0,0.3370165745856354,0.01844285264423188,0.013529772171736261,0.0,0.0,0.09574468085106383,0.02981702704643065,0.020640432182544976,0.0,0.0,0.140625
networkadex,0,0.75,0.25,0.09494924608998104,0.05597480707799408,0.0,0.0,0.3149171270718232,0.0212871298702213,0.015208779228946935,0.0,0.0,0.09271523178807947,0.03438781493233377,0.023389318165669262,0.0,0.0,0.14285714285714285
networkadex,0,0.75,0.5,0.10732441047191975,0.056730131862765126,0.058823529411764705,0.0,0.39779005524861877,0.023877147550483868,0.015291587760428221,0.0,0.0,0.0896637608966376,0.03863468500349223,0.023578610707863316,0.0,0.0,0.14634146341463414
networkadex,0,0.75,0.75,0.12350383002354738,0.06471979548921693,0.08333333333333333,0.0,0.3756906077348066,0.027591944777267,0.018031219368898475,0.0,0.0,0.10273972602739725,0.04462345617480474,0.027667557002404714,0.0,0.0,0.15384615384615385
networkadex,0,0.75,1.0,0.13642315937512384,0.06152441847076855,0.14285714285714285,0.0,0.39285714285714285,0.030457173615866397,0.01736297069064117,0.0,0.0,0.09917355371900827,0.04929512205437892,0.026594728466966595,0.0,0.0,0.15172413793103448
networkadex,0,0.75,2.0,0.21569432607461592,0.0977174819751923,0.2,0.0603448275862069,0.55,0.047612254920663816,0.027233818422251085,0.023809523809523808,0.003281378178835111,0.14814814814814814,0.0772251695737271,0.0418757925257684,0.038910505836575876,0.006415396952686447,0.21428571428571427
networkadex,0,0.75,3.0,0.2716066737601228,0.11177202716317715,0.16666666666666666,0.08064516129032258,0.5714285714285714,0.05975564144740594,0.03123610533346039,0.058823529411764705,0.004922067268252666,0.1643835616438356,0.09698995720693272,0.04798235880217318,0.04878048780487805,0.009623095429029671,0.24615384615384614
networkadex,0,0.75,5.0,0.32455246286307265,0.12985003141504095,0.5,0.08333333333333333,0.7,0.07120292507434615,0.03631216231478965,0.05,0.004922067268252666,0.20987654320987653,0.11561896736537983,0.05559346482431887,0.2,0.009623095429029671,0.3076923076923077
networkadex,0,1.0,0,0.09521677995022483,0.05157169341350099,0.09090909090909091,0.0,0.35,0.021305133270774452,0.014468339492168322,0.0,0.0,0.08333333333333333,0.03443770505554329,0.022216400877747695,0.0,0.0,0.12804878048780488
networkadex,0,1.0,0.1,0.10140601237610279,0.05092935901268486,0.1,0.0,0.3259668508287293,0.022591292673626737,0.0138676188137249,0.0,0.0,0.09917355371900827,0.03657121404326309,0.021266317123311878,0.0,0.0,0.1348314606741573
networkadex,0,1.0,0.25,0.11408768009597366,0.05836059999800429,0.1,0.0,0.35359116022099446,0.02527661506744869,0.01640915459804893,0.023255813953488372,0.0,0.11702127659574468,0.040927078660601676,0.025045304477555194,0.0,0.0,0.171875
networkadex,0,1.0,0.5,0.12655529427893827,0.062013099668448084,0.1111111111111111,0.0,0.3695652173913043,0.028180878437581585,0.017072875894286164,0.0,0.0,0.10625,0.04559865553901922,0.026226426344276566,0.0,0.0,0.16504854368932037
networkadex,0,1.0,0.75,0.13507088332463507,0.06644330545537529,0.16666666666666666,0.0,0.4090909090909091,0.029826582478328822,0.018151535359656773,0.023255813953488372,0.0,0.12396694214876033,0.048341647754675234,0.02777360282408761,0.06,0.0,0.16853932584269665
networkadex,0,1.0,1.0,0.1584259401278021,0.0757614481419972,0.2,0.041666666666666664,0.47368421052631576,0.035237572925009814,0.021209118837488963,0.03333333333333333,0.003281378178835111,0.125,0.057060719295183665,0.03262378146062881,0.022222222222222223,0.006415396952686447,0.19780219780219782
networkadex,0,1.0,2.0,0.22225900417202116,0.09932075586427361,0.3333333333333333,0.05,0.5238095238095238,0.04907474895012397,0.028339825976356234,0.030303030303030304,0.003281378178835111,0.1728395061728395,0.07957123113200544,0.04340324246805736,0.03902439024390244,0.006415396952686447,0.25
networkadex,0,1.0,3.0,0.27649726866296337,0.11703577008085979,0.2,0.06451612903225806,0.6,0.060672890689981177,0.03234697190259292,0.07142857142857142,0.004101722723543888,0.1728395061728395,0.09851928567594426,0.049676089953552084,0.05405405405405406,0.00801924619085806,0.25
networkadex,0,1.0,5.0,0.3260958071161889,0.13018362205095263,0.5,0.06451612903225806,0.7142857142857143,0.07173960148981003,0.03700145322956089,0.047619047619047616,0.004101722723543888,0.20987654320987653,0.116440217426793,0.056583693734987714,0.06177606177606177,0.00801924619085806,0.30357142857142855
networkadex,0,2.0,0,0.1488710085607811,0.07165617599237246,0.14285714285714285,0.03125,0.42857142857142855,0.032806117317002975,0.019402083458527127,0.0196078431372549,0.002461033634126333,0.10625,0.05322274814456364,0.03001802075465134,0.025974025974025972,0.0048115477145148355,0.16981132075471697
networkadex,0,2.0,0.1,0.14940613048183995,0.06896284697233436,0.1,0.03333333333333333,0.40331491712707185,0.03302251903295953,0.019226717850393465,0.017857142857142856,0.002461033634126333,0.1125,0.05352125334205008,0.02946123765944911,0.03940886699507389,0.0048115477145148355,0.17475728155339806
