model_type,lr,feature_dim,hidden_dim,num_layers,dropout,batch_size,trained_epochs,predictor_type,train_loss,valid_loss,test_loss,train_aucroc,valid_aucroc,test_aucroc,train_precision,valid_precision,test_precision,train_recall,valid_recall,test_recall,train_f1,valid_f1,test_f1
GCN_binary_lr0.001,0.01,64,16,2,0.3,32,9,MLP,0.6767082795571376,0.6679914572409221,0.679097385117502,0.5849079459787088,0.5885166324116026,0.5251155649828105,0.6338161209068011,0.6656441717791411,0.555984555984556,0.29844329132690883,0.24300111982082867,0.13886210221793635,0.4058058663441185,0.3560295324036095,0.2222222222222222
GCN_binary_lr0.001,0.01,64,16,3,0.3,32,35,MLP,0.6813231780065745,0.6775811931916645,0.6899492993499293,0.5680071639701264,0.5882470226936143,0.5199345526977251,0.5859541984732825,0.6160990712074303,0.5347334410339257,0.4267605633802817,0.44568868980963045,0.3191899710703954,0.49384516405747375,0.5172189733593242,0.3997584541062802
GCN_binary_lr0.001,0.01,64,32,1,0,32,211,MLP,0.7015844050318144,0.6842075330870492,0.7223333048098015,0.5775381236739622,0.6218203295759352,0.5517017879444172,0.5481145555072374,0.5634599838318513,0.5197132616487455,0.6540400296515938,0.780515117581187,0.8389585342333655,0.5964105857302193,0.6544600938967137,0.6418295831796386
GCN_binary_lr0.001,0.01,64,32,2,0,32,169,MLP,0.668652473679651,0.6840960000242505,0.7069367405140039,0.600089410875145,0.5991862802511507,0.5514800036080638,0.6184093929995569,0.6353383458646616,0.5845824411134903,0.4138621200889548,0.3784994400895857,0.26325940212150434,0.49586997069011457,0.4743859649122807,0.363031914893617
GCN_binary_lr0.001,0.01,64,32,3,0,32,95,MLP,0.6454027528163946,0.6657356364386422,0.7181653398455996,0.6365228725558453,0.6469454472950622,0.5883696665981629,0.6264555583479936,0.6163175303197354,0.5647279549718575,0.5543365455893254,0.6259798432250839,0.5805207328833173,0.5881936524167224,0.6211111111111111,0.5725154541131716
GCN_binary_lr0.001,0.01,64,32,1,0.1,32,67,MLP,0.6926403379694546,0.6948273586375373,0.7353852156436804,0.582207279806968,0.6023733179175095,0.5398872387059698,0.5576116117493293,0.5875440658049353,0.5098314606741573,0.6008895478131949,0.5599104143337066,0.3500482160077146,0.5784422164341528,0.573394495412844,0.41509433962264153
GCN_binary_lr0.001,0.01,64,32,2,0.1,32,39,MLP,0.6674190943275018,0.6726821086236409,0.6806688868638241,0.6019207127592522,0.6008415585197296,0.5438268166554922,0.6041551246537397,0.6078431372549019,0.5395894428152492,0.4850259451445515,0.48600223964165734,0.3548698167791707,0.5380756578947369,0.5401369010578718,0.4281559045956952
GCN_binary_lr0.001,0.01,64,32,3,0.1,32,43,MLP,0.6696582722579133,0.6556081707988467,0.6786823760379445,0.5971164374566229,0.6242612380227449,0.5375178194647605,0.601754230530699,0.6165311653116531,0.5290148448043185,0.503484062268347,0.509518477043673,0.3780135004821601,0.5482503935101102,0.5579399141630901,0.4409448818897638
GCN_binary_lr0.001,0.01,64,32,1,0.2,32,52,MLP,0.7124856866507734,0.6988655946084431,0.7506649421923088,0.5628210529612854,0.5990075854380656,0.49561313372433086,0.5329541103757589,0.5570469798657718,0.4837662337662338,0.7223128243143069,0.7435610302351624,0.7184185149469624,0.6133509583608724,0.6369304556354916,0.5781916957702755
GCN_binary_lr0.001,0.01,64,32,2,0.2,32,48,MLP,0.6736665901979564,0.6722443167652402,0.6796833619926915,0.5994312509994224,0.595247470371146,0.5318974231170882,0.6739872068230277,0.6749311294765841,0.5762195121951219,0.23432171979243885,0.27435610302351626,0.18225650916104147,0.3477447744774477,0.39012738853503187,0.27692307692307694
