model_type,lr,feature_dim,hidden_dim,num_layers,dropout,batch_size,trained_epochs,predictor_type,train_loss,valid_loss,test_loss,train_aucroc,valid_aucroc,test_aucroc,train_precision,valid_precision,test_precision,train_recall,valid_recall,test_recall,train_f1,valid_f1,test_f1
GCN_binary_lr0.001,0.001,64,16,3,0.1,32,115,MLP,0.6345634054728029,0.6555054783821106,0.7111098450241666,0.680971268287027,0.6456375266631471,0.5861248557471901,0.6289895687373501,0.620253164556962,0.5638921453692849,0.5989621942179392,0.49384098544232924,0.46383799421407906,0.6136087484811664,0.5498753117206983,0.508994708994709
GCN_binary_lr0.001,0.001,64,16,1,0.2,32,127,MLP,0.6363072274561742,0.6796483120747975,0.7500081694487369,0.6820371018589395,0.6277254093992218,0.560721017622788,0.6018716741085082,0.5929705215419501,0.5350052246603971,0.7294292068198666,0.5856662933930571,0.49373191899710706,0.6595395288045846,0.5892957746478873,0.5135406218655968
GCN_binary_lr0.001,0.001,64,16,2,0.2,32,69,MLP,0.6429572987118604,0.6791127387966428,0.7178936510375051,0.6685116751776705,0.6249202143334558,0.5841613436876086,0.6011601675797615,0.5731593662628145,0.5434606011372868,0.6914010378057821,0.6886898096304591,0.6451301832208293,0.6431304947422858,0.6256358087487284,0.58994708994709
GCN_binary_lr0.001,0.001,64,16,3,0.2,32,77,MLP,0.6403987223008798,0.6635524311235973,0.6907842782410708,0.670786346968707,0.6466858695665805,0.5971294504491017,0.6327347008256021,0.6558641975308642,0.5831099195710456,0.5510748702742773,0.47592385218365063,0.41947926711668276,0.5890883157018899,0.5515898767034393,0.4879416713404375
GCN_binary_lr0.001,0.001,64,16,1,0.3,32,130,MLP,0.634159019278689,0.6703166897807803,0.7462428979801409,0.683655721147532,0.6481900409932171,0.5838191355711388,0.6225722155519458,0.586,0.5602471678681772,0.6534469977761305,0.6562150055991042,0.5245901639344263,0.6376360808709176,0.6191230850501849,0.5418326693227091
GCN_binary_lr0.001,0.001,64,16,2,0.3,32,250,MLP,0.6286369104167862,0.6765114537307194,0.7216718070434801,0.690604557860997,0.658039573690606,0.5899974799347945,0.6261661965719245,0.6560402684563759,0.5767441860465117,0.6418087472201631,0.43784994400895855,0.35872709739633557,0.6338909836365633,0.5251846877098724,0.4423305588585018
GCN_binary_lr0.001,0.001,64,16,3,0.3,32,157,MLP,0.6265797997820434,0.6727232017687389,0.7368372010462212,0.6933171484134804,0.6521476608535467,0.5726676145583516,0.6202326210440898,0.6466575716234653,0.5509761388286334,0.6799110452186805,0.5307950727883539,0.48987463837994216,0.6487021712992432,0.5830258302583026,0.518631955079122
GCN_binary_lr0.001,0.001,64,32,1,0,32,210,MLP,0.597380894019988,0.6985289113862174,0.7628886320374229,0.7322566203667324,0.6589618897258633,0.5801892187704871,0.6553802008608322,0.6149425287356322,0.5597826086956522,0.6772424017790957,0.5991041433370661,0.49662487945998074,0.6661319722931097,0.606920022688599,0.5263157894736842
GCN_binary_lr0.001,0.001,64,32,2,0,32,109,MLP,0.6055277303496808,0.6843934293304171,0.7687747586857189,0.7222477320322387,0.6584527662584065,0.5841446052471291,0.6386244804933637,0.5986525505293552,0.5602700096432015,0.7062268346923647,0.696528555431131,0.5602700096432015,0.6707265558997465,0.6438923395445134,0.5602700096432015
GCN_binary_lr0.001,0.001,64,32,3,0,32,241,MLP,0.599246584055548,0.6684787741729191,0.7307661031231736,0.7330332135216983,0.6638261506378464,0.6003506703280456,0.6344181334684057,0.6015037593984962,0.561618062088429,0.742772424017791,0.6270996640537514,0.5756991321118612,0.6843327414287665,0.6140350877192983,0.5685714285714286
GCN_binary_lr0.001,0.001,64,32,1,0.1,32,131,MLP,0.6047941252447983,0.6969796546867916,0.7408578395843506,0.7225512240074601,0.6490164261288183,0.5909813282696451,0.6424271446162265,0.6142011834319526,0.5509433962264151,0.6961452928094886,0.5811870100783875,0.5631629701060752,0.6682083392628433,0.5972382048331415,0.5569861707200763
GCN_binary_lr0.001,0.001,64,32,2,0.1,32,147,MLP,0.6033182185831794,0.6833602743489402,0.7759927086757891,0.7255971861758512,0.6421025043607804,0.5815250393120872,0.6484325242374921,0.6045883940620783,0.5807644882860666,0.6792438843587842,0.5016797312430011,0.4541947926711668,0.6634806849860613,0.5483476132190942,0.5097402597402597
GCN_binary_lr0.001,0.001,64,32,3,0.1,32,67,MLP,0.6186086024506398,0.6813358472926276,0.7528299960223112,0.707505221724793,0.6529376800271867,0.5868115967635296,0.6606988410309635,0.6423948220064725,0.5897858319604613,0.5662713120830245,0.44456886898096304,0.3452266152362584,0.6098515088615679,0.5254798146922568,0.43552311435523117
GCN_binary_lr0.001,0.001,64,32,1,0.2,32,21,MLP,0.6398339516602422,0.6558538185698646,0.6868777275085449,0.67493334436018,0.6352230675566714,0.6075988800123493,0.6044472681067344,0.5571687840290381,0.5637168141592921,0.7052631578947368,0.6875699888017918,0.6142719382835101,0.65097502565857,0.6155388471177945,0.5879095523765574
GCN_binary_lr0.001,0.001,64,32,2,0.2,32,165,MLP,0.6012172035131409,0.6840543832097735,0.7938061329451475,0.7288515392617105,0.6472821459428754,0.5437956645579332,0.6345911949685534,0.5898203592814372,0.5241248817407758,0.7479614529280949,0.6618141097424413,0.5342333654773385,0.6866281047975502,0.6237467018469657,0.5291308500477555
GCN_binary_lr0.001,0.001,64,32,3,0.2,32,27,MLP,0.6327888228317008,0.6604644294295993,0.7150030533472697,0.6860248977772845,0.6377197789451112,0.5687182725185495,0.6375460314972968,0.605080831408776,0.548235294117647,0.6031875463306152,0.5867861142217246,0.4493731918997107,0.6198910600693254,0.595793064241046,0.4939056703762586
GCN_binary_lr0.001,0.001,64,32,1,0.3,32,46,MLP,0.6192263777575222,0.6593083888292313,0.7142021330920133,0.7049534289738273,0.6480414421486516,0.6141054837920751,0.6434176111595467,0.605586592178771,0.5858684985279686,0.65648628613788,0.606942889137738,0.5756991321118612,0.6498862552285903,0.6062639821029083,0.580739299610895
GCN_binary_lr0.001,0.001,64,32,2,0.3,32,121,MLP,0.6073101743067045,0.6653537388358798,0.7173060576121012,0.721655914575275,0.6433339310727081,0.6030990292634435,0.6503267973856209,0.6057692307692307,0.5922989807474519,0.6785767234988881,0.5643896976483762,0.5043394406943105,0.6641514909671334,0.5843478260869566,0.5447916666666667
GCN_binary_lr0.001,0.001,64,32,3,0.3,32,198,MLP,0.6065868981782859,0.7075136325189045,0.7490163698340907,0.7223348514480429,0.6346111161967725,0.5746185727875734,0.6249072011878248,0.5672897196261683,0.5346303501945525,0.7487768717568569,0.6797312430011199,0.6624879459980714,0.6812571659809806,0.6184411614875192,0.5917312661498708
GCN_binary_lr0.001,0.001,64,64,1,0,32,38,MLP,0.6007223344668393,0.6701337950570243,0.7342261690081973,0.7280633981407858,0.6604409811787336,0.5840023285030533,0.64858277038791,0.6073354908306364,0.5487179487179488,0.6903632320237213,0.6304591265397537,0.5159112825458052,0.6688211425903983,0.6186813186813187,0.5318091451292246
GCN_binary_lr0.001,0.001,64,64,2,0,32,131,MLP,0.5654063821192036,0.7360928250210625,0.8368893617933447,0.7683158076075352,0.6602873663394149,0.5713090111394321,0.6718351456571352,0.6141552511415526,0.5422077922077922,0.741957005189029,0.6024636058230683,0.4831243972999036,0.7051571086374524,0.6082532504239684,0.5109637939826619
GCN_binary_lr0.001,0.001,64,64,3,0,32,173,MLP,0.562257958673188,0.7293377029044288,0.8900153880769556,0.7721258176031336,0.6898246784433865,0.615549639240112,0.6641959394134709,0.6170421155729677,0.5844155844155844,0.7638991845811712,0.7054871220604704,0.5641272902603665,0.7105671435959318,0.658307210031348,0.5740922473012757
GCN_binary_lr0.001,0.001,64,64,1,0.1,32,121,MLP,0.5689077064112464,0.7021656930446625,0.8235583603382111,0.7675496139413045,0.6500816980145439,0.5776082442398842,0.6586355566827289,0.5912017167381974,0.5600461893764435,0.770051890289103,0.6170212765957447,0.46769527483124396,0.7099993165197184,0.6038356164383561,0.509721492380452
GCN_binary_lr0.001,0.001,64,64,2,0.1,32,29,MLP,0.6092943186161077,0.6525169845138278,0.7105053103331364,0.7187523141266545,0.6615908979759206,0.5911914886889988,0.6402112772671148,0.6134636264929425,0.572020725388601,0.6918458117123796,0.6326987681970885,0.532304725168756,0.6650277896536981,0.6229327453142227,0.5514485514485514
GCN_binary_lr0.001,0.001,64,64,3,0.1,32,219,MLP,0.543775102185412,0.8018139345305306,0.9376026753223303,0.7902644162740871,0.6694359137700341,0.5733473812244914,0.708651303362297,0.6786248131539612,0.5733512786002691,0.6952557449962935,0.5083986562150056,0.4108003857280617,0.7018896164639851,0.5813060179257362,0.4786516853932584
GCN_binary_lr0.001,0.001,64,64,1,0.2,32,53,MLP,0.5883939750669127,0.6802673531430108,0.7513389081665964,0.7443842678402748,0.6559065219217781,0.6012010760957401,0.6720166443750929,0.6309192200557103,0.5895522388059702,0.6704225352112676,0.5072788353863382,0.4570877531340405,0.6712186433130474,0.5623836126629422,0.5149375339489408
