activation,seed,hidden_dim_1,hidden_dim_2,mlp_dim,learning_rate,dropout,l2_regularization,num_layers_LSTM,num_layers_GRU,trained_epochs,train_loss,train_aucroc,valid_aucroc,valid_loss
degree_activation,42,64,64,64,1e-05,0,0.0001,3,3,75,0.67408794706518,0.5489795918367346,0.403030303030303,0.6887743671735128
degree_activation,42,64,64,64,1e-05,0,0.001,3,3,75,0.6721998724070463,0.5598639455782313,0.42424242424242425,0.6813137928644816
degree_activation,42,64,64,64,0.0001,0,1e-05,3,3,75,0.6119018467989835,0.7059863945578231,0.6454545454545455,0.6712700525919596
degree_activation,42,64,64,64,0.0001,0,0.0001,3,3,75,0.6157481128519232,0.6839455782312925,0.6151515151515151,0.7028003533681234
degree_activation,42,64,64,64,0.0001,0,0.001,3,3,75,0.6389786221764304,0.6560544217687074,0.5787878787878787,0.6829864184061686
degree_activation,42,64,64,64,0.001,0,1e-05,3,3,75,0.39279087023301557,0.877687074829932,0.5242424242424242,1.0074278314908345
degree_activation,42,64,64,64,0.001,0,0.0001,3,3,75,0.4057706892490387,0.8670748299319728,0.5196969696969698,1.051502784093221
degree_activation,42,64,64,64,0.001,0,0.001,3,3,75,0.6487012017856945,0.6333333333333333,0.5833333333333334,0.6916879018147787
degree_activation,42,64,64,64,0.01,0,1e-05,3,3,94,0.6693962541493502,0.5221768707482993,0.5363636363636364,0.6921086510022482
degree_activation,42,64,64,64,0.01,0,0.0001,3,3,75,0.6664030389352278,0.5340136054421769,0.396969696969697,0.7166862686475118
degree_activation,42,64,64,64,0.01,0,0.001,3,3,75,0.668886049227281,0.5137414965986394,0.396969696969697,0.6985015670458475
degree_activation,42,64,128,32,1e-05,0,1e-05,3,3,75,0.6672755479812622,0.5657142857142857,0.4272727272727273,0.7005229989687601
degree_activation,42,64,128,32,1e-05,0,0.0001,3,3,75,0.669859837401997,0.546530612244898,0.40606060606060607,0.6975754896799723
degree_activation,42,64,128,32,1e-05,0,0.001,3,3,75,0.670329359444705,0.5616326530612245,0.40606060606060607,0.6824448108673096
degree_activation,42,64,128,32,0.0001,0,1e-05,3,3,75,0.5903834429654208,0.7344217687074829,0.6181818181818182,0.6830006043116251
degree_activation,42,64,128,32,0.0001,0,0.0001,3,3,75,0.6184486259113658,0.6889795918367347,0.5818181818181818,0.7017193833986918
degree_activation,42,64,128,32,0.0001,0,0.001,3,3,75,0.6318202181295915,0.6704761904761904,0.5696969696969697,0.6853155493736267
degree_activation,42,64,128,32,0.001,0,1e-05,3,3,75,0.37926063483411615,0.8712925170068027,0.6378787878787879,0.9532193740208944
degree_activation,42,64,128,32,0.001,0,0.0001,3,3,75,0.4383414509621533,0.8044897959183672,0.55,1.0336616436640422
degree_activation,42,64,128,32,0.001,0,0.001,3,3,75,0.6411744627085599,0.6478911564625851,0.5833333333333333,0.6942726174990336
