Epoch: 19 | Edge Type: o-o-nobank | Train Loss: 0.0490 | Train AUCROC: 0.9988 | GPU: 0.0MiB
Epoch: 19 | Edge Type: o-n | Train Loss: 0.1566 | Train AUCROC: 0.9720 | GPU: 0.0MiB
Epoch: 19 | Edge Type: n-n | Train Loss: 0.0421 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 20 | Edge Type: o-o-nobank | Train Loss: 0.0467 | Train AUCROC: 0.9986 | GPU: 0.0MiB
Epoch: 20 | Edge Type: o-n | Train Loss: 0.1716 | Train AUCROC: 0.9716 | GPU: 0.0MiB
Epoch: 20 | Edge Type: n-n | Train Loss: 0.0371 | Train AUCROC: 0.9999 | GPU: 0.0MiB
Epoch: 09 | Edge Type: o-o-bank | Train Loss: 0.4309 | Train AUCROC: 0.8737 | GPU: 0.0MiB
Epoch: 09 | Edge Type: o-o-nobank | Train Loss: 0.2705 | Train AUCROC: 0.9653 | GPU: 0.0MiB
Epoch: 09 | Edge Type: o-n | Train Loss: 0.1970 | Train AUCROC: 0.9625 | GPU: 0.0MiB
Epoch: 09 | Edge Type: n-n | Train Loss: 0.0196 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 21 | Edge Type: o-o-nobank | Train Loss: 0.0454 | Train AUCROC: 0.9988 | GPU: 0.0MiB
Epoch: 21 | Edge Type: o-n | Train Loss: 0.1432 | Train AUCROC: 0.9785 | GPU: 0.0MiB
Epoch: 21 | Edge Type: n-n | Train Loss: 0.0317 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 10 | Edge Type: o-o-bank | Train Loss: 0.4070 | Train AUCROC: 0.8885 | GPU: 0.0MiB
Epoch: 10 | Edge Type: o-o-nobank | Train Loss: 0.2224 | Train AUCROC: 0.9720 | GPU: 0.0MiB
Epoch: 10 | Edge Type: o-n | Train Loss: 0.1738 | Train AUCROC: 0.9658 | GPU: 0.0MiB
Epoch: 10 | Edge Type: n-n | Train Loss: 0.0193 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 22 | Edge Type: o-o-nobank | Train Loss: 0.0342 | Train AUCROC: 0.9992 | GPU: 0.0MiB
Epoch: 22 | Edge Type: o-n | Train Loss: 0.1267 | Train AUCROC: 0.9815 | GPU: 0.0MiB
Epoch: 22 | Edge Type: n-n | Train Loss: 0.0047 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 23 | Edge Type: o-o-nobank | Train Loss: 0.0365 | Train AUCROC: 0.9991 | GPU: 0.0MiB
Epoch: 23 | Edge Type: o-n | Train Loss: 0.1113 | Train AUCROC: 0.9854 | GPU: 0.0MiB
Epoch: 23 | Edge Type: n-n | Train Loss: 0.0011 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 11 | Edge Type: o-o-bank | Train Loss: 0.3785 | Train AUCROC: 0.9036 | GPU: 0.0MiB
Epoch: 11 | Edge Type: o-o-nobank | Train Loss: 0.1619 | Train AUCROC: 0.9775 | GPU: 0.0MiB
Epoch: 11 | Edge Type: o-n | Train Loss: 0.1630 | Train AUCROC: 0.9703 | GPU: 0.0MiB
Epoch: 11 | Edge Type: n-n | Train Loss: 0.0149 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 24 | Edge Type: o-o-nobank | Train Loss: 0.0362 | Train AUCROC: 0.9989 | GPU: 0.0MiB
Epoch: 24 | Edge Type: o-n | Train Loss: 0.1002 | Train AUCROC: 0.9866 | GPU: 0.0MiB
Epoch: 24 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 12 | Edge Type: o-o-bank | Train Loss: 0.3590 | Train AUCROC: 0.9145 | GPU: 0.0MiB
Epoch: 12 | Edge Type: o-o-nobank | Train Loss: 0.1211 | Train AUCROC: 0.9831 | GPU: 0.0MiB
Epoch: 12 | Edge Type: o-n | Train Loss: 0.1386 | Train AUCROC: 0.9743 | GPU: 0.0MiB
Epoch: 12 | Edge Type: n-n | Train Loss: 0.0035 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 25 | Edge Type: o-o-nobank | Train Loss: 0.0305 | Train AUCROC: 0.9993 | GPU: 0.0MiB
