overshoot0,overshoot1,overshoot2,overshoot3,overshoot4,overshoot5,overshoot6,overshoot7,overshoot8,overshoot9,overshoot10,overshoot11,overshoot12,overshoot13,overshoot14,overshoot15,overshoot16,overshoot17,overshoot18,overshoot19,cosine_similarity,norm
8.240257,-2.2961779,16.442581,-2.187646,-41.547905,-16.17243,-34.947754,-16.316252,-27.238388,-26.688015,-19.72451,-36.80336,-16.733261,-45.1519,3.6036682,-79.64517,14.17691,-33.978394,29.733185,119.68219,0.93540823,179.6102
80.780396,2.8001962,88.54266,3.088119,30.427872,-11.049511,44.71785,-11.1483,80.81877,-12.960415,72.74945,-34.617104,111.81462,-21.460785,122.00958,-14.135765,178.07507,92.3663,204.66266,418.18536,0.9410361,561.9629
117.891266,14.347378,112.57037,13.468323,63.7397,2.8950825,56.597153,3.0758,109.59064,8.391132,133.85779,12.014343,148.09903,13.688271,137.4165,-7.359627,208.65488,86.127045,218.4978,450.99628,0.9495063,638.38556
84.351746,-0.09654093,79.50429,-0.01637125,35.67131,-16.979765,38.56935,-17.071724,91.38637,-11.707903,110.097015,-0.22260284,126.64249,9.030762,156.59964,-19.376228,175.04822,116.4418,218.76605,479.3684,0.93771756,632.65936
18.165344,-4.1811666,15.311367,-4.034007,-25.606339,-15.042861,-24.120773,-15.1909,-12.701317,-24.292482,3.0127335,-21.731653,19.50969,-26.913353,0.74832916,-70.463715,42.203552,-23.815674,45.75589,115.658844,0.9434386,165.57494
38.582947,7.123864,40.171646,6.3001432,-14.286972,-12.278916,-17.609146,-12.173984,-13.875923,-11.40572,9.634201,-9.7237015,4.468315,-13.548374,-9.271683,-70.513985,20.157593,-52.30224,8.276337,67.03035,0.9486704,132.21631
32.01461,2.1979008,37.43756,1.4978113,-18.374435,-18.132984,-17.043823,-18.06403,-7.451042,-16.147898,2.3824997,-9.358105,-1.9294205,-15.473366,-10.262238,-60.05749,13.23172,-51.822342,14.853088,70.791855,0.9513515,127.17873
43.838608,6.424575,45.957634,5.519988,0.43582916,-16.036324,2.7578888,-15.89394,10.411339,-12.334885,21.18763,0.5933342,13.406525,6.9005203,32.37729,-18.053207,39.493347,-24.377838,73.87158,153.77576,0.954019,195.42932
87.34043,6.1684084,96.098175,5.5600376,39.83544,-17.123722,45.30522,-17.029964,83.308945,-4.0259514,104.96074,13.0781975,93.36026,23.17279,143.07002,1.228508,141.51723,54.939713,185.47272,380.68646,0.93997085,520.9517
76.48115,8.459897,90.09851,7.805892,40.71061,-11.885977,31.530151,-11.77347,58.291595,-0.43672943,106.81088,13.07069,110.50351,18.14293,100.66783,-18.516716,139.74767,27.659714,137.55968,339.12805,0.92633855,457.43915
74.50857,7.329343,65.86163,6.4150887,27.29029,-10.099288,29.46936,-9.968362,66.32367,-3.7252083,60.290863,-1.5162506,57.988754,3.5123177,92.3309,-1.4229507,105.675934,17.32988,123.14081,271.88306,0.94175,363.73416
