overshoot0,overshoot1,overshoot2,overshoot3,overshoot4,overshoot5,overshoot6,overshoot7,overshoot8,overshoot9,overshoot10,overshoot11,overshoot12,overshoot13,overshoot14,overshoot15,overshoot16,overshoot17,overshoot18,overshoot19
1136.8167,136.83119,1118.999,136.83578,1137.8586,136.83353,1135.2465,136.83778,1129.8099,136.8368,1117.2515,136.84,1133.2926,425.59778,1149.012,426.05188,1151.5514,425.76178,1131.6809,1168.0942
1124.8167,129.83119,1106.999,129.83578,1125.8586,129.83353,1123.2465,129.83778,1117.8099,129.8368,1105.2515,129.84,1112.2926,413.59778,1128.012,414.05188,1130.5514,413.76178,1108.6809,1148.0942
1061.8167,117.83119,1043.999,117.835785,1062.8586,117.83353,1060.2465,117.83778,1054.8099,117.83681,1042.2515,117.84,1026.2926,370.59778,1042.012,371.05188,1044.5514,370.76178,1022.6809,1081.0942
1010.81665,105.83119,992.999,105.835785,1011.85864,105.83353,1009.24646,105.83778,1003.80994,105.83681,991.25146,105.84,975.2926,355.59778,991.01196,356.05188,993.5514,355.76178,969.6809,1046.0942
1012.81665,112.83119,994.999,112.835785,1013.85864,112.83353,1011.24646,112.83778,1005.80994,112.83681,993.25146,112.84,971.2926,354.59778,987.01196,355.05188,989.5514,354.76178,965.6809,1038.0942
997.80334,110.82941,979.98584,110.833984,998.84546,110.83174,996.2333,110.836,990.79675,110.83504,978.2384,110.83821,942.27747,340.5924,957.9968,341.04645,960.53613,340.7564,937.6658,1010.07874
954.8165,101.83118,936.9989,101.83577,955.85864,101.83353,953.24646,101.83777,947.80994,101.83682,935.25146,101.83998,880.29236,310.59772,896.01196,311.05188,898.5514,310.76178,876.6808,959.09424
771.80994,56.46077,771.89453,56.46855,772.16614,56.417603,771.8639,56.500504,771.9109,56.357697,772.0205,56.540756,988.3804,205.13086,988.5491,204.7395,988.2156,204.86652,1015.29834,1025.4194
755.8141,65.46135,755.8988,65.4691,756.17017,65.41818,755.8684,65.50107,755.91516,65.35829,756.02515,65.54132,964.38696,207.1325,964.55493,206.74109,964.2217,206.86816,989.3047,988.4253
772.8141,62.46135,772.8988,62.4691,773.17017,62.418182,772.8684,62.50107,772.91516,62.35829,773.02515,62.54132,985.38696,210.1325,985.55493,209.74109,985.2217,209.86816,1006.3047,1004.4253
796.8141,64.46135,796.8988,64.4691,797.17017,64.41818,796.8684,64.50107,796.91516,64.35829,797.02515,64.54132,999.38696,204.1325,999.55493,203.74109,999.2217,203.86816,1019.3047,1018.4253
846.8141,70.46135,846.8988,70.4691,847.17017,70.41818,846.8684,70.50107,846.91516,70.35829,847.02515,70.54132,1090.387,234.1325,1090.5549,233.74109,1090.2217,233.86816,1110.3047,1120.4253
866.8141,74.46135,866.8988,74.4691,867.17017,74.41818,866.8684,74.50107,866.91516,74.35829,867.02515,74.54132,1123.387,252.1325,1123.5549,251.74109,1123.2217,251.86816,1144.3047,1149.4253
969.8141,103.46135,969.8988,103.4691,970.17017,103.41818,969.8684,103.50107,969.91516,103.35829,970.02515,103.54132,1324.387,322.1325,1324.5549,321.7411,1324.2217,321.86816,1349.3047,1379.4253
1029.8141,109.46135,1029.8988,109.4691,1030.1702,109.41818,1029.8684,109.50107,1029.9152,109.35829,1030.0251,109.54132,1437.387,348.1325,1437.5549,347.7411,1437.2217,347.86816,1465.3047,1524.4253
1061.8141,111.46135,1061.8988,111.4691,1062.1702,111.41818,1061.8684,111.50107,1061.9152,111.35829,1062.0251,111.54132,1481.387,362.1325,1481.5549,361.7411,1481.2217,361.86816,1509.3047,1569.4253
1090.8141,125.46135,1090.8988,125.4691,1091.1702,125.41818,1090.8684,125.50107,1090.9152,125.35829,1091.0251,125.54132,1524.387,384.1325,1524.5549,383.7411,1524.2217,383.86816,1554.3047,1606.4253
1136.8141,136.46135,1136.8988,136.4691,1137.1702,136.41818,1136.8684,136.50107,1136.9152,136.35829,1137.0251,136.54132,1583.387,399.1325,1583.5549,398.7411,1583.2217,398.86816,1616.3047,1665.4253
1154.8141,141.46135,1154.8988,141.4691,1155.1702,141.41818,1154.8684,141.50107,1154.9152,141.35829,1155.0251,141.54132,1612.387,408.1325,1612.5549,407.7411,1612.2217,407.86816,1649.3047,1697.4253
1129.8141,132.46135,1129.8988,132.4691,1130.1702,132.41818,1129.8684,132.50107,1129.9152,132.35829,1130.0251,132.54132,1572.387,386.1325,1572.5549,385.7411,1572.2217,385.86816,1607.3047,1662.4253
1143.8141,141.46135,1143.8988,141.4691,1144.1702,141.41818,1143.8684,141.50107,1143.9152,141.35829,1144.0251,141.54132,1585.387,394.1325,1585.5549,393.7411,1585.2217,393.86816,1620.3047,1667.4253
1090.8141,124.46135,1090.8988,124.4691,1091.1702,124.41818,1090.8684,124.50107,1090.9152,124.35829,1091.0251,124.54132,1510.387,364.1325,1510.5549,363.7411,1510.2217,363.86816,1544.3047,1600.4253
1038.8141,106.46135,1038.8988,106.4691,1039.1702,106.41818,1038.8684,106.50107,1038.9152,106.35829,1039.0251,106.54132,1445.387,342.1325,1445.5549,341.7411,1445.2217,341.86816,1479.3047,1547.4253
1019.80994,94.46077,1019.89453,94.46855,1020.16614,94.4176,1019.8639,94.5005,1019.9109,94.3577,1020.0205,94.54076,1411.3804,313.13086,1411.5491,312.7395,1411.2156,312.86652,1448.2983,1527.4194
1036.8141,101.46135,1036.8988,101.4691,1037.1702,101.41818,1036.8684,101.50107,1036.9152,101.35829,1037.0251,101.54132,1420.387,318.1325,1420.5549,317.7411,1420.2217,317.86816,1459.3047,1526.4253
1042.8141,101.46135,1042.8988,101.4691,1043.1702,101.41818,1042.8684,101.50107,1042.9152,101.35829,1043.0251,101.54132,1424.387,317.1325,1424.5549,316.7411,1424.2217,316.86816,1463.3047,1528.4253
1103.8141,118.46135,1103.8988,118.4691,1104.1702,118.41818,1103.8684,118.50107,1103.9152,118.35829,1104.0251,118.54132,1497.387,352.1325,1497.5549,351.7411,1497.2217,351.86816,1533.3047,1575.4253
1099.8141,108.46135,1099.8988,108.4691,1100.1702,108.41818,1099.8684,108.50107,1099.9152,108.35829,1100.0251,108.54132,1497.387,348.1325,1497.5549,347.7411,1497.2217,347.86816,1533.3047,1583.4253
1131.8141,117.46135,1131.8988,117.4691,1132.1702,117.41818,1131.8684,117.50107,1131.9152,117.35829,1132.0251,117.54132,1532.387,358.1325,1532.5549,357.7411,1532.2217,357.86816,1566.3047,1608.4253
1197.8141,138.46135,1197.8988,138.4691,1198.1702,138.41818,1197.8684,138.50107,1197.9152,138.35829,1198.0251,138.54132,1617.387,386.1325,1617.5549,385.7411,1617.2217,385.86816,1655.3047,1688.4253
1222.8141,142.46135,1222.8988,142.4691,1223.1702,142.41818,1222.8684,142.50107,1222.9152,142.35829,1223.0251,142.54132,1659.387,403.1325,1659.5549,402.7411,1659.2217,402.86816,1699.3047,1731.4253
1210.8141,141.46135,1210.8988,141.4691,1211.1702,141.41818,1210.8684,141.50107,1210.9152,141.35829,1211.0251,141.54132,1638.387,395.1325,1638.5549,394.7411,1638.2217,394.86816,1678.3047,1708.4253
1224.8141,145.46135,1224.8988,145.4691,1225.1702,145.41818,1224.8684,145.50107,1224.9152,145.35829,1225.0251,145.54132,1653.387,402.1325,1653.5549,401.7411,1653.2217,401.86816,1692.3047,1715.4253
1215.8141,146.46135,1215.8988,146.4691,1216.1702,146.41818,1215.8684,146.50107,1215.9152,146.35829,1216.0251,146.54132,1649.387,407.1325,1649.5549,406.7411,1649.2217,406.86816,1686.3047,1709.4253
1221.8141,149.46135,1221.8988,149.4691,1222.1702,149.41818,1221.8684,149.50107,1221.9152,149.35829,1222.0251,149.54132,1657.387,418.1325,1657.5549,417.7411,1657.2217,417.86816,1692.3047,1706.4253
1227.8141,156.46135,1227.8988,156.4691,1228.1702,156.41818,1227.8684,156.50107,1227.9152,156.35829,1228.0251,156.54132,1670.387,431.1325,1670.5549,430.7411,1670.2217,430.86816,1707.3047,1715.4253
