dataset,seed,hidden_dim_1,hidden_dim_2,mlp_dim,dropout,learning_rate,num_layers_LSTM,num_layers_GRU,trained_epochs,valid_loss,train_loss
CollegeMsg,42,256,256,64,0.001,0.2,3,3,333,61124.52099609375,34253.158203125
CollegeMsg,42,512,32,32,0.0001,0.2,3,3,509,101768.21726226807,1044.0915222167969
CollegeMsg,42,512,32,32,0.001,0.2,3,3,126,68039.44921875,20083.810546875
CollegeMsg,42,512,32,64,0.0001,0.2,3,3,349,100760.46068572998,1131.4246215820312
CollegeMsg,42,512,32,64,0.001,0.2,3,3,126,63772.423095703125,25872.8955078125
CollegeMsg,42,512,64,32,0.0001,0.2,3,3,383,100844.78200531006,1031.3755187988281
CollegeMsg,42,512,64,32,0.001,0.2,3,3,126,65078.04455566406,22458.447265625
CollegeMsg,42,512,64,64,0.0001,0.2,3,3,285,100909.005027771,1176.4093933105469
CollegeMsg,42,512,64,64,0.001,0.2,3,3,126,61919.235595703125,32631.2685546875
CollegeMsg,42,512,128,32,0.0001,0.2,3,3,341,100546.81735992432,1071.8244018554688
CollegeMsg,42,512,128,32,0.001,0.2,3,3,126,62399.217041015625,27280.017578125
CollegeMsg,42,512,128,64,0.0001,0.2,3,3,212,98012.2318649292,1316.8721313476562
CollegeMsg,42,512,128,64,0.001,0.2,3,3,126,60118.285400390625,37198.197265625
CollegeMsg,42,512,256,32,0.0001,0.2,3,3,216,97518.33128356934,1331.6565246582031
CollegeMsg,42,512,256,32,0.001,0.2,3,3,126,61537.00146484375,34609.2314453125
CollegeMsg,42,512,256,64,0.0001,0.2,3,3,141,94171.59967041016,1830.4986572265625
CollegeMsg,42,512,256,64,0.001,0.2,3,3,126,61567.139404296875,38669.53515625
CollegeMsg,42,64,32,32,0.0001,0.35,3,3,528,103202.471824646,1011.9421691894531
CollegeMsg,42,64,32,32,0.001,0.35,3,3,126,73225.22387695312,17337.587890625
CollegeMsg,42,64,32,64,0.0001,0.35,3,3,347,101125.94278717041,1100.0118713378906
CollegeMsg,42,64,32,64,0.001,0.35,3,3,126,67656.85913085938,25990.2734375
CollegeMsg,42,64,64,32,0.0001,0.35,3,3,406,102352.59474182129,1067.7947692871094
CollegeMsg,42,64,64,32,0.001,0.35,3,3,126,65434.861083984375,23209.744140625
CollegeMsg,42,64,64,64,0.0001,0.35,3,3,248,100471.93420410156,1182.850830078125
CollegeMsg,42,64,64,64,0.001,0.35,3,3,126,61453.58935546875,33345.595703125
CollegeMsg,42,64,128,32,0.0001,0.35,3,3,262,99606.8246459961,1288.51416015625
CollegeMsg,42,64,128,32,0.001,0.35,3,3,126,64207.059326171875,31478.58203125
CollegeMsg,42,64,128,64,0.0001,0.35,3,3,203,99181.20810699463,1360.6603698730469
CollegeMsg,42,64,128,64,0.001,0.35,3,3,126,59752.600341796875,36443.830078125
CollegeMsg,42,64,256,32,0.0001,0.35,3,3,259,97626.93215942383,1366.408935546875
CollegeMsg,42,64,256,32,0.001,0.35,3,3,184,12026.864135742188,1428.1939697265625
CollegeMsg,42,64,256,64,0.0001,0.35,3,3,155,94309.56852722168,1504.4581298828125
CollegeMsg,42,64,256,64,0.001,0.35,3,3,178,11797.759460449219,1740.8519287109375
CollegeMsg,42,128,32,32,0.0001,0.35,3,3,495,101631.40535736084,1065.2593383789062
CollegeMsg,42,128,32,32,0.001,0.35,3,3,126,70654.19384765625,17532.185546875
CollegeMsg,42,128,32,64,0.0001,0.35,3,3,340,102408.3908996582,1092.831298828125
CollegeMsg,42,128,32,64,0.001,0.35,3,3,126,62427.640869140625,26747.310546875
CollegeMsg,42,128,64,32,0.0001,0.35,3,3,360,100723.95967102051,1084.0678100585938
CollegeMsg,42,128,64,32,0.001,0.35,3,3,126,67295.7548828125,22342.90625
CollegeMsg,42,128,64,64,0.0001,0.35,3,3,242,99400.12674713135,1218.0782470703125
CollegeMsg,42,128,64,64,0.001,0.35,3,3,126,58632.2255859375,32321.3212890625
CollegeMsg,42,128,128,32,0.0001,0.35,3,3,294,98635.8911895752,1085.1007995605469
CollegeMsg,42,128,128,32,0.001,0.35,3,3,183,22955.500427246094,4727.0760498046875
CollegeMsg,42,128,128,64,0.0001,0.35,3,3,189,97666.7179107666,1361.8983764648438
CollegeMsg,42,128,128,64,0.001,0.35,3,3,126,60871.808837890625,36305.248046875
CollegeMsg,42,128,256,32,0.0001,0.35,3,3,213,98339.49243164062,1260.9747314453125
CollegeMsg,42,128,256,32,0.001,0.35,3,3,137,62682.854248046875,36253.140625
CollegeMsg,42,128,256,64,0.0001,0.35,3,3,145,95340.78285217285,1770.788330078125
CollegeMsg,42,128,256,64,0.001,0.35,3,3,174,10274.709243774414,3700.087158203125
CollegeMsg,42,256,32,32,0.0001,0.35,3,3,490,103201.99796295166,1040.5297241210938
CollegeMsg,42,256,32,32,0.001,0.35,3,3,126,70337.39636230469,18439.42578125
CollegeMsg,42,256,32,64,0.0001,0.35,3,3,331,100560.2170791626,1079.7647705078125
CollegeMsg,42,256,32,64,0.001,0.35,3,3,126,62746.7568359375,25922.1533203125
CollegeMsg,42,256,64,32,0.0001,0.35,3,3,368,100118.93184661865,1049.8611145019531
CollegeMsg,42,256,64,32,0.001,0.35,3,3,126,69059.19702148438,22649.833984375
CollegeMsg,42,256,64,64,0.0001,0.35,3,3,260,100855.15046691895,1242.0334777832031
CollegeMsg,42,256,64,64,0.001,0.35,3,3,126,60791.37646484375,32778.0654296875
CollegeMsg,42,256,128,32,0.0001,0.35,3,3,270,102430.45655822754,1129.3652954101562
CollegeMsg,42,256,128,32,0.001,0.35,3,3,126,63553.986083984375,29658.990234375
CollegeMsg,42,256,128,64,0.0001,0.35,3,3,200,98088.2544708252,1273.112060546875
CollegeMsg,42,256,128,64,0.001,0.35,3,3,146,60925.46044921875,40730.2421875
CollegeMsg,42,256,256,32,0.0001,0.35,3,3,242,98628.99198913574,1163.1412353515625
CollegeMsg,42,256,256,32,0.001,0.35,3,3,129,61966.603515625,35232.4794921875
CollegeMsg,42,256,256,64,0.0001,0.35,3,3,151,95041.10398864746,1552.1525268554688
CollegeMsg,42,256,256,64,0.001,0.35,3,3,126,61685.79345703125,33417.3642578125
CollegeMsg,42,512,32,32,0.0001,0.35,3,3,494,100972.17890930176,973.1596069335938
CollegeMsg,42,512,32,32,0.001,0.35,3,3,126,71977.95935058594,16533.1923828125
CollegeMsg,42,512,32,64,0.0001,0.35,3,3,336,101407.17687988281,1119.4411010742188
CollegeMsg,42,512,32,64,0.001,0.35,3,3,126,63047.7490234375,27013.2470703125
CollegeMsg,42,512,64,32,0.0001,0.35,3,3,426,102685.43438720703,1034.2850952148438
CollegeMsg,42,512,64,32,0.001,0.35,3,3,126,68058.30834960938,23798.8134765625
CollegeMsg,42,512,64,64,0.0001,0.35,3,3,255,98606.76300811768,1187.5943603515625
CollegeMsg,42,512,64,64,0.001,0.35,3,3,126,62590.842041015625,33849.0859375
CollegeMsg,42,512,128,32,0.0001,0.35,3,3,295,101173.74473571777,1065.049560546875
CollegeMsg,42,512,128,32,0.001,0.35,3,3,126,63902.165771484375,28973.9970703125
CollegeMsg,42,512,128,64,0.0001,0.35,3,3,187,97299.47534179688,1371.7281494140625
CollegeMsg,42,512,128,64,0.001,0.35,3,3,126,63047.86572265625,36763.43359375
CollegeMsg,42,512,256,32,0.0001,0.35,3,3,197,97238.61679077148,1198.113037109375
CollegeMsg,42,512,256,32,0.001,0.35,3,3,126,60442.718017578125,35039.2958984375
CollegeMsg,42,512,256,64,0.0001,0.35,3,3,147,96569.45846557617,1676.0003662109375
CollegeMsg,42,512,256,64,0.001,0.35,3,3,128,61881.426025390625,37569.234375
CollegeMsg,42,64,32,32,0.0001,0.5,3,3,524,103245.3110961914,1072.9541015625
CollegeMsg,42,64,32,32,0.001,0.5,3,3,126,71072.07238769531,17349.9072265625
CollegeMsg,42,64,32,64,0.0001,0.5,3,3,345,102268.22987365723,1108.9429931640625
CollegeMsg,42,64,32,64,0.001,0.5,3,3,126,67338.64672851562,23977.255859375
CollegeMsg,42,64,64,32,0.0001,0.5,3,3,384,102512.93087768555,1192.6149291992188
CollegeMsg,42,64,64,32,0.001,0.5,3,3,126,67326.41040039062,22564.849609375
CollegeMsg,42,64,64,64,0.0001,0.5,3,3,265,101191.7679977417,1146.8281860351562
CollegeMsg,42,64,64,64,0.001,0.5,3,3,126,63828.825927734375,31335.716796875
CollegeMsg,42,64,128,32,0.0001,0.5,3,3,276,99787.45301055908,1132.1420288085938
CollegeMsg,42,64,128,32,0.001,0.5,3,3,126,65519.835693359375,25075.716796875
CollegeMsg,42,64,128,64,0.0001,0.5,3,3,189,96812.65196228027,1345.0772399902344
CollegeMsg,42,64,128,64,0.001,0.5,3,3,166,37321.75958251953,7621.296142578125
CollegeMsg,42,64,256,32,0.0001,0.5,3,3,224,100099.62605285645,1184.6911315917969
CollegeMsg,42,64,256,32,0.001,0.5,3,3,170,27683.372802734375,4826.3018798828125
CollegeMsg,42,64,256,64,0.0001,0.5,3,3,145,93782.3483581543,1615.7821655273438
