Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5,Kernel Distance
0,-0.3535353535353529,-10,-0.0004469473496022166,0.09459519357744035,-0.016211081597685945,-0.0002234736748011083,3,61,0,-140,-1.8550356503584684,5.582746302089681,-2.5073090059524015,-1.9322693533890059,-1.62920855181566,17237936.904761918
0,-0.43370508054522894,-8,-0.0005380956334308084,0.07680068197135863,-0.026756171508040945,-0.00026904781671540246,4,67,0,-175,-2.521164264592226,16.07973893512353,-12.815759863465694,-11.470386970841503,2.39895169837994,17524857.238095254
0,-0.36828644501278696,-12,-0.00047155754803173723,0.08689420370604653,-0.014988506379812062,-0.00023577877401586948,2,90,0,-144,-2.2525412685789394,6.591599815989909,-12.668986448581624,2.024304223149434,-2.1440944186874358,17236327.04761906
0,-0.5063291139240516,-7,-0.0006417352521217341,0.015241504565541963,-0.009782705253109154,-0.0003208676260608688,1,106,0,-200,-2.5026328610962487,15.912722246289965,-3.65719057991383,11.382442096243611,-10.877161701084276,14436034.571428586
0,-0.4221105527638205,-9,-0.0005309566701431675,0.12796707691586254,-0.011049308583724854,-0.0002654783350715846,4,122,0,-168,-2.080171727359243,6.288393339130447,-11.939131684701813,10.883362586326642,-2.2747030923518325,12415587.142857155
0,-0.23027166882276973,-8,-0.00029827936376006746,0.07644137523610002,-0.00036367858022614413,-0.00014913968188003113,3,117,0,-89,-2.045724942355701,3.9497882431897837,-1.1265894530279326,1.287603363443262,-1.601604443204578,9604816.047619056
0,-0.515669515669515,-6,-0.0007356198511690656,-0.049916805243032505,0.01417745340227234,-0.0003678099255845328,5,107,0,-181,-2.1511033684165657,13.170817500887527,-2.270304103650979,-10.363227861049873,1.6399751282245187,2849253.000000001
0,-0.39942112879884206,-7,-0.0005788712011577431,0.026682173586072735,0.004016042962973684,-0.0002894356005788707,-2,119,0,-138,-1.7069119910849668,4.462874055977567,-2.598362928808795,-1.9687152031620494,-9.325467935291087,3711766.523809525
0,-0.588571428571429,-1,-0.0008420192111179229,0.05175602498470526,-0.0015001911202925725,-0.0004210096055589623,-6,94,0,-206,-1.3613064895411657,3.680122660900037,-10.026957338785197,-1.6909603912233404,9.584906820340905,2183188.904761906
0,-0.7245590230664858,-6,-0.0009844551943838115,-0.00319767751722512,-0.011002971167267318,-0.0004922275971919066,0,138,0,-267,-1.2222543690696863,3.431333202628098,-1.802383142647627,-9.61769290186863,-9.61769290186863,1915542.047619049
0,-0.7194630872483225,-9,-0.000967020278559572,0.042544852728261195,-0.020756039485097175,-0.00048351013927978685,-4,87,0,-268,-1.0677205215540582,12.234609595750616,-10.089831914115159,-10.089831914115159,9.506875407568469,2362999.6666666684
0,-0.7774936061381066,-8,-0.0009955103791781158,0.036001199506471085,-0.022497883777123043,-0.000497755189589057,-3,87,0,-304,-1.9305710970839307,3.810194324610248,-1.7812865166846334,-1.7247501792140634,1.8835095035243263,3036968.714285716
0,-0.5511432009626951,-8,-0.0006640279529671056,0.034198725278320824,-0.018843059043348348,-0.00033201397648355106,-2,126,0,-229,-1.949745891265307,14.03941174317786,-11.01677583744149,-1.743885441855208,-10.33122799140867,3288580.000000003
0,-0.41155234657039585,-12,-0.000495846200687225,0.003271313669467646,-0.022299130556666498,-0.0002479231003436125,-7,126,0,-171,-1.809360988106409,13.607268203538498,-11.399116104011272,1.1350620490551506,10.34711390764621,3196569.9523809548
0,-0.3467933491686459,-12,-0.0004123583224359649,0.005762577080638265,-0.028217237191359885,-0.00020617916121798158,-9,144,0,-146,-1.9816767898812344,4.581687019443001,-10.601056108062728,-2.279267027056454,10.102726289442629,3237542.6190476203
0,-0.6471962616822431,-9,-0.0007569546920260135,0.018474995791974605,-0.032589448601773215,-0.00037847734601300764,-8,155,0,-277,-3.331890042543563,4.4902620099755515,-3.028408319486531,10.753358951086511,-10.270861423644682,4775358.000000004
0,-0.6267281105990783,-8,-0.0007228697930785205,0.010413706142748128,-0.035524994475201806,-0.0003614348965392611,-11,142,0,-272,-2.6372202930566537,3.670152710883711,11.962854872162431,-2.768301685897458,-2.0564753608227937,3993756.619047622
0,-0.6569506726457401,-12,-0.0007373183755844427,0.01997221965020747,-0.03409813319657202,-0.0003686591877922222,-9,148,0,-293,-3.1840936120699332,4.246531814737737,12.121244465966292,-2.3131389500197743,-2.3646905001276117,6123610.571428575
0,-0.7965554359526372,-8,-0.0008583571508110309,-0.017620922331437944,-0.034240652084536825,-0.00042917857540551545,-5,144,0,-370,-2.847518985169467,14.086749216002975,12.259397286020722,-2.2079990543649535,11.0886628541756,7012459.523809528
0,-0.48397790055248713,-11,-0.000535373783797,0.054316153205311,-0.04022699778922287,-0.0002676868918984991,-4,122,0,-219,-3.5967510894579036,12.953183190740754,3.401385620063432,-10.762513967011065,2.5593905674183093,7618672.85714286
0,-0.11622807017543835,-8,-0.00012758295299170053,-0.0029861203068626135,-0.02194627324415218,-6.379147649585026e-05,-3,151,0,-53,-3.27006266352951,3.9918726437785654,2.9925004897715564,-2.3425535956082344,-10.27590459319324,5852349.000000004
0,-0.21681415929203496,-9,-0.00024010427385607463,0.03766014092388292,-0.02628343358183234,-0.00012005213692803732,1,151,0,-98,-3.588626127340474,12.881581883548476,3.0274575728614126,-10.975665153699012,10.620801720915319,6494896.095238099
0,-0.2400000000000002,-2,-0.00026696329254727487,0.0027798286044267567,-0.013957932326310117,-0.00013348164627363743,1,164,0,-108,-1.8006034442955023,3.4380569443715334,-2.281201151958892,-2.281201151958892,2.1499849966230986,2919915.4285714296
0,-0.37146092865232117,-8,-0.00042115751547882295,-0.026975690831185672,-0.012922170526378174,-0.00021057875773941104,2,172,0,-164,-1.9062568587361097,3.2597371447313064,-10.098046023024214,9.133278819552347,-1.6661336269127816,1246926.333333334
0,-0.35585585585585555,-13,-0.0004011903673684968,0.014017970097579449,-0.00248919300524875,-0.00020059518368424796,-1,199,0,-158,-1.0483988385474081,9.409109118604624,-1.7952641380989975,1.5142025014139597,-1.604464423806177,688478.7142857147
0,-0.4311814859926919,0,-0.0005258310804788927,-0.06670653351281641,-0.001412303827864437,-0.00026291554023944634,-1,172,0,-177,-0.8884105640688142,7.271453740241464,-6.680136656682013,0.9738871037367387,-1.2351193341859066,103479.00000000006
0,-0.28927680798005007,-7,-0.00036114457925099774,-0.08562548989987509,-0.01160413914759802,-0.0001805722896254993,-5,144,0,-116,-1.192617287166947,6.405861646677147,-1.5948669062583987,1.4386948407339832,-5.48482467566658,507566.1904761907
0,-0.28208386277001285,-8,-0.000358885321590347,-0.014543410981119914,-0.009955015870518273,-0.0001794426607951735,1,175,0,-111,-0.6249010384302878,1.3051947015774807,-6.616095756617533,6.208908541520005,-5.729438306221347,602434.4761904764
0,-0.25747724317295173,-7,-0.0003352568270481148,-0.06956425507936365,-0.007250548777145507,-0.0001676284135240574,-9,172,0,-99,-0.1564197996756489,7.107519564391891,-1.1123677714640565,6.17793058498933,0.8944445405242929,800781.6190476194
0,-0.3624511082138202,-7,-0.00047317377051412594,0.011670743445278617,0.0004480388365441408,-0.00023658688525706253,-1,180,0,-139,-0.7412778167555647,1.15626928927191,-0.9091745409075709,-6.258617905522101,0.8045849904171685,953422.9047619052
0,-0.44621513944223157,-5,-0.0005933711960667961,0.0407360204021475,-0.009930359634745594,-0.0002966855980333985,-10,160,0,-168,0.07452229993328352,0.34711843556309363,-1.0866112658155842,-0.899042272054932,0.9406633857156934,1102176.5238095243
0,-0.46047156726768446,-7,-0.0006395438434273395,0.1117971686314656,-0.0025909742739500426,-0.0003197719217136693,-6,164,0,-166,-0.7477866159048707,0.9421196444113136,-7.80046610171258,-0.26679362122055306,0.5933966055770852,907129.8095238102
0,-0.4588744588744582,-6,-0.0006631133798763863,0.08106641070954793,0.0003420785661690587,-0.0003315566899381927,-7,154,0,-159,-0.7913107940506432,2.1636054523003407,-7.311746305658792,1.235877031696146,-1.236339921401751,774720.1428571434
0,-0.4279069767441861,-10,-0.0006644518272425253,0.03313937701586135,0.005645440423470659,-0.00033222591362126264,-5,134,0,-138,-1.3226287368218603,2.9085160528978786,-7.38803452193598,7.006779803331826,-1.7376832267203688,148258.4285714286
0,-0.33333333333333304,-4,-0.000529941706412294,0.0697058867302269,0.008003808469716996,-0.00026497085320614745,-9,150,0,-105,-1.5481775273097336,8.708809775128445,-2.1202119998814335,7.21203546480852,-6.843350946000997,346061.6666666668
0,-0.35612082670906275,-7,-0.0005670713801099719,0.04410534820249929,0.008173163011178042,-0.00028353569005498593,-13,161,0,-112,-1.8049123310514616,2.457875530342978,-8.463663836352847,8.049166461642663,7.294927744906285,326334.3333333335
0,-0.6949429037520396,-8,-0.00113552762050987,0.02252777426013909,-0.0004610362913944725,-0.0005677638102549341,-5,161,0,-213,-2.538318725414922,2.783400094903005,-1.614607655048383,-7.785555471822028,1.8227506115715002,154370.14285714293
0,-0.49214659685863893,-9,-0.0008603961483542623,0.030165813058414773,0.001617751738559839,-0.000430198074177132,-5,139,0,-141,-2.279643212714138,2.9758084783246983,-1.9023714447676228,-7.225925385024184,6.848260704164822,167283.80952380964
0,-0.30099009900990037,-8,-0.0005972025774005959,0.013376591942422134,0.002731046814969322,-0.0002986012887002988,-10,134,0,-76,-2.2649695451557736,3.0459955544848505,-7.202207710805561,-6.989523375207435,6.682282182554622,157572.80952380956
0,-0.2805429864253388,-6,-0.0006361518966560998,0.04996296236781202,0.0071770817365006435,-0.00031807594832804903,-4,102,0,-62,-2.2766708608152673,7.403595893280265,-6.3277456570608575,1.754937958219489,-5.742913980364957,49809.380952380976
0,-0.45965770171149156,-8,-0.0011266120139987543,0.09655053732011822,0.006884546893781832,-0.0005633060069993763,-5,89,0,-94,-2.0308146516421663,7.133258538898666,-6.307035341625527,1.4475431967260337,-5.8928412273339,18817.619047619057
0,-0.39037433155080237,-6,-0.0010465799773479965,-0.014451989139488301,-0.0016991468997043582,-0.0005232899886739974,-6,90,0,-73,-2.024956609040494,2.62591414821341,-5.7368205277123225,5.363907786802863,-1.7498886996723881,14766.238095238103
0,-0.40540540540540526,-5,-0.0013742556115437475,-0.0706283674057761,-0.008600431211987275,-0.0006871278057718738,-22,73,0,-60,-2.407808614969514,2.0445011297625606,-1.9388280024503464,1.905598857422987,-1.7278022748217041,5238.57142857143
0,-0.22058823529411753,-2,-0.0016339869281045746,-0.15336753621271978,0.0,-0.0008169934640522881,-1,15,0,-15,-1.847759065022574,1.8477590650225637,1.7320508075688794,-1.7320508075688765,-1.4142135623730965,251.7142857142857
0,-0.20895522388059695,0,-0.0031659882406151058,0.2542685675251711,0.0,-0.0015829941203075529,6,0,0,-7,0.0,0.0,0.0,0.0,0.0,11.23809523809524
0,-0.22857142857142865,0,-0.003312629399585921,0.40463552065949404,0.0,-0.0016563146997929604,8,0,0,-8,0.0,0.0,0.0,0.0,0.0,9.333333333333336
0,-0.17948717948717952,0,-0.002331002331002332,0.5319784564250973,0.0,-0.001165501165501166,7,0,0,-7,0.0,0.0,0.0,0.0,0.0,19.0
0,-0.1282051282051282,0,-0.0016650016650016607,0.35381160319648647,0.0,-0.0008325008325008321,6,-1,0,-5,0.34741386803115176,-0.34741386803115176,0.0,0.0,0.0,10.380952380952383
0,-0.1298701298701299,0,-0.0017088174982911805,0.241748258079964,0.0,-0.000854408749145592,5,0,0,-5,0.0,0.0,0.0,0.0,0.0,7.476190476190476
0,-0.5076923076923077,-2,-0.003935599284436495,0.30855388010606666,0.0,-0.0019677996422182474,15,18,0,-33,2.2059461150511006,-2.2059461150510966,-1.414213562373099,1.4142135623730958,1.4142135623730951,1176.2857142857151
0,-0.5353535353535352,-3,-0.0027175306363123597,0.15570772409632874,-0.01034151034151034,-0.0013587653181561807,-2,59,0,-53,5.189401055297648,-5.044302535697518,1.7560346406061216,-1.7891143220030252,-2.869813122334563,6278.476190476195
0,-0.6166666666666667,-5,-0.0025801952580195246,0.2552903578743641,0.0022924842042489086,-0.0012900976290097623,6,59,0,-74,-2.4024933395186174,2.245066694378305,-4.398004191442029,4.364310407932374,-1.3773631385555927,16083.190476190488
0,-0.6137184115523464,-6,-0.002223617433160678,0.26929023938353547,-0.0029030428739859077,-0.0011118087165803382,-5,66,0,-85,-3.1522987727838707,6.994449744772155,4.777336074309655,-4.628704303061809,-4.628704303061809,35556.28571428574
0,-0.7109634551495017,-6,-0.0023698781838316727,0.20583623367842188,0.0031291249598645998,-0.0011849390919158355,-4,83,0,-107,-3.2307965679314363,3.654188780386381,6.073487941816487,-6.010342723950033,-5.091054540658041,33896.57142857145
0,-0.5437500000000002,-5,-0.0017045454545454551,0.22842321314485686,0.007919649467408902,-0.0008522727272727267,-8,82,0,-87,-3.780550418622182,3.9962888084582215,-2.3822633792615133,2.8014364968611543,-1.6885083126791927,103648.80952380958
0,-0.6946107784431135,-6,-0.002085918253582928,0.18489914423955073,-0.01180334103077911,-0.0010429591267914623,2,76,0,-116,-3.9544840031384316,4.247792987497257,2.5820163661164157,-1.8906719845424909,-1.0052777981186893,322124.1904761907
0,-0.8128654970760238,-2,-0.0023837697861466955,0.1763687326839353,-0.01855036011132575,-0.0011918848930733486,3,82,0,-139,-4.596444832624918,9.44432632743471,2.767073583397257,-6.58168099368555,1.3644474406269649,517390.00000000035
0,-0.7076023391812862,-4,-0.0020750801735521605,0.22802201311560893,-0.0021456778250782994,-0.0010375400867760794,2,91,0,-121,-3.8220725837963245,8.916028513630042,7.473058799408797,-6.438932502541801,-1.5101993171673658,462235.2380952384
0,-0.8036253776435043,-4,-0.0024352284171015297,0.18190532353572278,-0.01164571909118775,-0.0012176142085507649,3,100,0,-133,-4.368632158668611,3.985676485137454,3.139500985057007,-6.279420220207429,1.3159265319010576,529784.8095238099
0,-0.7407407407407405,-2,-0.0022933149868134394,0.14039263967782142,-0.017166501548043417,-0.0011466574934067197,-3,72,0,-120,-4.553534672201566,4.070821342039704,7.989582947940067,-6.873165817840827,0.898769974504031,523322.7142857146
0,-0.7453416149068324,-6,-0.0023219364950368606,0.22280345979336663,-0.013198057879795885,-0.0011609682475184303,-9,81,0,-120,-4.467039438109369,9.513006605977104,3.666110007610997,-6.819805337143276,-1.2179634102793633,484236.00000000035
0,-0.7313915857605178,-5,-0.002374648005715964,0.2673322101666316,-0.01450886343239835,-0.001187324002857983,-6,80,0,-113,-3.9024704305949505,4.160875058475126,7.644221149989155,-2.471126878082699,-1.1728516920036494,327569.42857142875
0,-0.6793650793650796,-5,-0.0021635830553028007,0.2420158045059568,0.010971191556583607,-0.0010817915276514004,1,82,0,-107,-3.950694557014448,4.094343927243392,-3.304176517137896,3.4418204766188527,-4.620999997168188,208910.52380952393
0,-0.5526315789473686,-6,-0.0018238665971860336,0.12410831717760322,0.008643106376578776,-0.0009119332985930168,-9,76,0,-84,-2.797784391078292,2.6709849028994634,6.3562665734704815,-2.446169155802018,-4.8321764609774345,73115.6666666667
0,-0.6551724137931036,-7,-0.0018881049388850234,0.18240589337584606,-0.011842795866162475,-0.0009440524694425117,2,96,0,-114,-2.8575377803479434,3.154125076705926,6.197339698086044,-6.089011626375568,1.562761917771144,482143.5714285718
0,-0.6746987951807228,-6,-0.002038364940123029,0.3374700599872329,-0.01611664082582238,-0.0010191824700615153,6,81,0,-112,-1.5245080165033622,1.4865390483522085,-1.1448223561173743,5.904059789391921,-5.374770378146426,423962.33333333366
0,-0.6645962732919255,-6,-0.0020703933747412,0.2385415899597546,-0.020013708162228444,-0.0010351966873706,15,64,0,-107,-1.4649130385011997,2.360130085874219,1.3506582147353487,-5.232593170588773,-5.007118445719016,415737.76190476224
