Epoch: 14 | Edge Type: o-o-nobank | Train Loss: 0.5363 | Train AUCROC: 0.7803 | GPU: 0.0MiB
Epoch: 17 | Edge Type: o-o-bank | Train Loss: 0.5042 | Train AUCROC: 0.7264 | GPU: 0.0MiB
Epoch: 17 | Edge Type: n-n | Train Loss: 0.6931 | Train AUCROC: 0.5001 | GPU: 0.0MiB
Epoch: 17 | Edge Type: o-n | Train Loss: 0.5511 | Train AUCROC: 0.7669 | GPU: 0.0MiB
Epoch: 17 | Edge Type: o-o-nobank | Train Loss: 0.5276 | Train AUCROC: 0.7817 | GPU: 0.0MiB
Epoch: 18 | Edge Type: o-o-bank | Train Loss: 0.5016 | Train AUCROC: 0.7278 | GPU: 0.0MiB
Epoch: 18 | Edge Type: n-n | Train Loss: 0.6932 | Train AUCROC: 0.5002 | GPU: 0.0MiB
Epoch: 18 | Edge Type: o-n | Train Loss: 0.5353 | Train AUCROC: 0.7836 | GPU: 0.0MiB
Epoch: 18 | Edge Type: o-o-nobank | Train Loss: 0.5133 | Train AUCROC: 0.7939 | GPU: 0.0MiB
Epoch: 15 | Edge Type: n-n | Train Loss: 0.6932 | Train AUCROC: 0.5001 | GPU: 0.0MiB
Epoch: 15 | Edge Type: o-n | Train Loss: 0.5343 | Train AUCROC: 0.7771 | GPU: 0.0MiB
Epoch: 15 | Edge Type: o-o-nobank | Train Loss: 0.5165 | Train AUCROC: 0.7896 | GPU: 0.0MiB
Epoch: 19 | Edge Type: o-o-bank | Train Loss: 0.5013 | Train AUCROC: 0.7320 | GPU: 0.0MiB
Epoch: 19 | Edge Type: n-n | Train Loss: 0.6932 | Train AUCROC: 0.5001 | GPU: 0.0MiB
Epoch: 19 | Edge Type: o-n | Train Loss: 0.5357 | Train AUCROC: 0.7829 | GPU: 0.0MiB
Epoch: 19 | Edge Type: o-o-nobank | Train Loss: 0.5135 | Train AUCROC: 0.8016 | GPU: 0.0MiB
Epoch: 16 | Edge Type: n-n | Train Loss: 0.6932 | Train AUCROC: 0.4999 | GPU: 0.0MiB
