Graph Number,precision overall,recall overall,tp_overall,fp_overall,tn_overall,fn_overall,precision oo,recall oo,tp_oo,fp_oo,tn_oo,fn_oo,precision oon,recall oon,tp_oon,fp_oon,tn_oon,fn_oon,precision on,recall on,tp_on,fp_on,tn_on,fn_on,precision nn,recall nn,tp_nn,fp_nn,tn_nn,fn_nn,Correct Node IDs,Correct Old Node IDs,Precision Old IDs,Recall Old IDs,Correct New Node IDs,Precision New IDs,Recall New IDs,Correct Overall IDs,Precision Overall IDs,Recall Overall IDs
29,0.0,0.0,0,0,130,7,0.0,0.0,0,0,42,1,0.0,0.0,0,0,41,3,0.0,0.0,0,0,131,1,0.0,0.0,0,0,2,1,0.020168067226890758,7,0.014227642276422764,0.22580645161290322,2,0.019417475728155338,0.0035460992907801418,12,0.020168067226890758,0.020168067226890758
30,0.0,0.0,0,0,71,5,0.0,0.0,0,0,12,0,0.0,0.0,0,0,12,2,0.0,0.0,0,0,72,0,0.0,0.0,0,0,0,0,0.015151515151515152,4,0.00784313725490196,0.12903225806451613,1,0.011904761904761904,0.0017761989342806395,9,0.015151515151515152,0.015151515151515152
31,0.0,0.0,0,0,109,7,0.0,0.0,0,0,12,1,0.0,0.0,0,0,12,2,0.0,0.0,0,0,110,0,0.0,0.0,0,0,0,1,0.018092105263157895,4,0.007782101167315175,0.125,1,0.010638297872340425,0.001736111111111111,11,0.018092105263157895,0.018092105263157895
32,0.0,0.0,0,0,72,5,0.0,0.0,0,0,20,1,0.0,0.0,0,0,20,1,0.0,0.0,0,0,72,0,0.0,0.0,0,0,0,1,0.014975041597337771,5,0.00946969696969697,0.1388888888888889,1,0.0136986301369863,0.0017699115044247787,9,0.014975041597337771,0.014975041597337771
33,0.0,0.0,0,0,155,8,0.0,0.0,0,0,30,1,0.0,0.0,0,0,30,1,0.0,0.0,0,0,156,0,0.0,0.0,0,0,6,2,0.02195945945945946,6,0.011214953271028037,0.15789473684210525,3,0.05263157894736842,0.005415162454873646,13,0.02195945945945946,0.02195945945945946
34,0.0,0.0,0,0,89,7,0.0,0.0,0,0,12,1,0.0,0.0,0,0,12,0,0.0,0.0,0,0,90,0,0.0,0.0,0,0,0,0,0.016722408026755852,4,0.0076481835564053535,0.10256410256410256,0,0.0,0.0,10,0.016722408026755852,0.016722408026755852
35,0.0,0.0,0,0,181,7,0.0,0.0,0,0,20,2,0.0,0.0,0,0,20,0,0.0,0.0,0,0,181,1,0.0,0.0,0,0,12,2,0.023809523809523808,5,0.009633911368015413,0.11627906976744186,4,0.057971014492753624,0.007339449541284404,14,0.023809523809523808,0.023809523809523808
36,0.0,0.0,0,0,156,3,0.0,0.0,0,0,30,1,0.0,0.0,0,0,30,0,0.0,0.0,0,0,156,0,0.0,0.0,0,0,2,0,0.021922428330522766,6,0.011764705882352941,0.13043478260869565,2,0.024096385542168676,0.003656307129798903,13,0.021922428330522766,0.021922428330522766
37,0.0,0.0,0,1,340,7,0.0,0.0,0,0,42,1,0.0,0.0,0,0,42,0,0.0,0.0,0,0,341,1,0.0,0.0,0,0,6,1,0.03209459459459459,7,0.013861386138613862,0.16279069767441862,3,0.034482758620689655,0.00546448087431694,19,0.03209459459459459,0.03209459459459459
38,0.0,0.0,0,1,238,6,0.0,0.0,0,0,42,2,0.0,0.0,0,0,42,0,0.0,0.0,0,0,239,1,0.0,0.0,0,0,6,0,0.027972027972027972,7,0.014056224899598393,0.17073170731707318,3,0.04054054054054054,0.005649717514124294,16,0.027972027972027972,0.027972027972027972
39,0.0,0.0,0,4,300,9,0.0,0.0,0,1,89,2,0.0,0.0,0,0,90,0,0.0,0.0,0,0,304,2,0.0,0.0,0,0,0,1,0.03185840707964602,10,0.01984126984126984,0.23809523809523808,1,0.01639344262295082,0.0019120458891013384,18,0.03185840707964602,0.03185840707964602
