,Prob 1,Prob 2,Prob 3,Prob 4
36,0.9047842401500938,0.01125703564727955,0.08395872420262664,0.0
37,0.9665841584158416,0.009900990099009901,0.02277227722772277,0.0007425742574257426
38,0.9564885496183206,0.0066157760814249365,0.0366412213740458,0.0002544529262086514
39,0.944998575092619,0.011684240524365916,0.04160729552579082,0.0017098888572242804
40,0.9218199295097725,0.013457225248317847,0.06408202499198974,0.0006408202499198974
41,0.8932319942091929,0.026058631921824105,0.07528049221860297,0.0054288816503800215
42,0.8245370370370371,0.04814814814814815,0.12175925925925926,0.005555555555555556
43,0.8709677419354839,0.053069719042663895,0.06867845993756504,0.007284079084287201
44,0.9330874604847208,0.012644889357218124,0.05321390937829294,0.001053740779768177
45,0.9253891572732152,0.015029522275899088,0.05743424584004294,0.0021470746108427268
46,0.89431330472103,0.023605150214592276,0.08047210300429185,0.001609442060085837
47,0.8694459681843115,0.039495337356006584,0.08447613823368075,0.006582556226001097
48,0.8513812154696132,0.03149171270718232,0.11491712707182321,0.0022099447513812156
49,0.8607292289300658,0.052002390914524806,0.08069336521219367,0.00657501494321578
50,0.9059278350515464,0.025128865979381444,0.06701030927835051,0.0019329896907216496
51,0.9198697068403909,0.026710097719869708,0.053420195439739415,0.0
52,0.8871374527112232,0.0308953341740227,0.07629255989911728,0.005674653215636823
53,0.8636926889714994,0.024163568773234202,0.10842627013630732,0.0037174721189591076
54,0.9698245614035088,0.010526315789473684,0.018947368421052633,0.0007017543859649122
55,0.9939707149009475,0.002583979328165375,0.0034453057708871662,0.0
56,0.9911699779249448,0.004415011037527594,0.002207505518763797,0.002207505518763797
57,0.9880952380952381,0.006613756613756613,0.003968253968253968,0.0013227513227513227
58,0.9904912836767037,0.006339144215530904,0.001584786053882726,0.001584786053882726
59,0.9820224719101124,0.015730337078651686,0.0022471910112359553,0.0
60,0.9827586206896551,0.008620689655172414,0.0,0.008620689655172414
61,0.8913043478260869,0.06521739130434782,0.021739130434782608,0.021739130434782608
62,0.7916666666666666,0.125,0.020833333333333332,0.0625
63,0.7272727272727273,0.07272727272727272,0.0,0.2
64,0.8679245283018868,0.05660377358490566,0.0,0.07547169811320754
65,0.9038461538461539,0.07692307692307693,0.0,0.019230769230769232
66,0.3492063492063492,0.4126984126984127,0.06349206349206349,0.1746031746031746
67,0.5020242914979757,0.27125506072874495,0.0931174089068826,0.13360323886639677
68,0.6934097421203438,0.16905444126074498,0.10028653295128939,0.03724928366762178
69,0.7483443708609272,0.09050772626931568,0.11479028697571744,0.046357615894039736
70,0.8326996197718631,0.07604562737642585,0.07604562737642585,0.015209125475285171
71,0.8708053691275168,0.06375838926174497,0.05536912751677853,0.010067114093959731
72,0.8781575037147102,0.02823179791976226,0.09063893016344725,0.0029717682020802376
73,0.8779803646563815,0.05049088359046283,0.061711079943899017,0.009817671809256662
74,0.9213161659513591,0.027181688125894134,0.04864091559370529,0.002861230329041488
75,0.9025110782865583,0.026587887740029542,0.06794682422451995,0.0029542097488921715
76,0.889739663093415,0.03215926493108729,0.07503828483920368,0.0030627871362940277
77,0.9211356466876972,0.028391167192429023,0.04258675078864353,0.007886435331230283
78,0.9286898839137645,0.03814262023217247,0.03150912106135987,0.001658374792703151
79,0.8675496688741722,0.04304635761589404,0.0695364238410596,0.019867549668874173
80,0.9257246376811594,0.019927536231884056,0.050724637681159424,0.0036231884057971015
81,0.7658227848101266,0.09018987341772151,0.056962025316455694,0.08702531645569621
82,0.9156829679595279,0.016863406408094434,0.06239460370994941,0.00505902192242833
83,0.933572710951526,0.019748653500897665,0.04308797127468582,0.003590664272890485
84,0.9461538461538461,0.011538461538461539,0.038461538461538464,0.0038461538461538464
85,0.9752066115702479,0.006198347107438017,0.01859504132231405,0.0
86,0.9852579852579852,0.0,0.007371007371007371,0.007371007371007371
87,0.9733333333333334,0.010666666666666666,0.013333333333333334,0.0026666666666666666
88,0.9118773946360154,0.034482758620689655,0.0421455938697318,0.011494252873563218
89,0.7946768060836502,0.10266159695817491,0.10266159695817491,0.0
90,0.8007662835249042,0.08045977011494253,0.09961685823754789,0.019157088122605363
91,0.8115942028985508,0.07971014492753623,0.08695652173913043,0.021739130434782608
92,0.8655172413793103,0.05172413793103448,0.05862068965517241,0.02413793103448276
93,0.9326599326599326,0.016835016835016835,0.04713804713804714,0.003367003367003367
94,0.9285714285714286,0.01948051948051948,0.048701298701298704,0.003246753246753247
95,0.826865671641791,0.08955223880597014,0.0626865671641791,0.020895522388059702
96,0.8466076696165191,0.07079646017699115,0.07669616519174041,0.0058997050147492625
97,0.8434782608695652,0.06666666666666667,0.08115942028985507,0.008695652173913044
98,0.844632768361582,0.03389830508474576,0.096045197740113,0.025423728813559324
99,0.9047619047619048,0.022408963585434174,0.06162464985994398,0.011204481792717087
100,0.9207650273224044,0.02185792349726776,0.05191256830601093,0.00546448087431694
101,0.9324324324324325,0.01891891891891892,0.04594594594594595,0.002702702702702703
102,0.9002770083102493,0.027700831024930747,0.06925207756232687,0.002770083102493075
103,0.8646408839779005,0.08011049723756906,0.03314917127071823,0.022099447513812154
104,0.8933717579250721,0.023054755043227664,0.07492795389048991,0.008645533141210375
