graph_num,filtration_num,l2_norm,cosine_similarity,node_diff_1,edge_diff_1,node_diff_2,edge_diff_2,node_diff_3,edge_diff_3,node_diff_4,edge_diff_4,node_diff_5,edge_diff_5,node_diff_6,edge_diff_6,node_diff_7,edge_diff_7,node_diff_8,edge_diff_8,node_diff_9,edge_diff_9,node_diff_10,edge_diff_10
8,4,1122.5177058737204,,116,9,116,9,198,19,198,19,227,39,252,66,267,88,301,189,326,396,334,673
8,5,1151.4269407999798,,115,8,115,8,200,21,200,21,230,40,255,62,272,90,308,197,332,379,342,713
8,6,1143.1841496451916,,112,8,112,8,198,18,198,18,232,44,261,74,280,107,307,185,332,373,342,699
8,7,1107.290838036692,,104,8,104,8,196,25,196,25,226,46,254,70,269,99,298,189,321,355,331,677
8,8,1081.4952612008985,,108,12,108,12,189,31,189,31,223,55,251,76,266,105,293,184,315,345,324,653
8,9,1063.0874846408456,,118,16,118,16,194,35,194,35,220,44,252,73,265,106,299,207,312,297,322,634
8,10,1028.7225087456773,,101,10,101,10,180,27,180,27,214,43,246,84,255,108,285,201,302,328,309,603
9,1,1045.3248298973865,,105,9,105,9,185,33,185,33,220,45,250,82,258,104,289,200,308,347,315,604
9,2,999.6974542330295,,111,11,111,11,181,31,181,31,212,56,239,76,252,117,280,212,297,332,304,552
9,3,1133.0313323116886,,143,5,143,5,212,20,212,20,243,44,283,84,291,99,322,214,340,352,348,632
9,4,1079.5846423509367,,131,6,131,6,206,17,206,17,231,36,263,72,282,109,309,219,323,340,332,593
9,5,1044.6717187710215,,127,5,127,5,204,20,204,20,228,39,261,74,273,105,303,226,314,327,322,557
9,6,994.8668252585368,,127,5,127,5,199,24,199,24,219,38,254,77,263,106,288,197,301,315,308,520
9,7,956.6817652699356,,128,4,128,4,200,29,200,29,225,53,248,74,260,105,279,174,292,291,299,484
9,8,860.7624527127098,,116,5,116,5,184,29,184,29,208,53,231,87,241,119,250,149,264,271,268,407
9,9,830.451082243861,,114,6,114,6,181,34,181,34,206,58,228,95,234,117,246,165,255,245,259,375
9,10,638.8630526176952,,56,10,56,10,125,45,125,45,149,72,164,104,170,125,181,183,186,229,188,261
10,1,620.8147871950216,,74,11,74,11,132,39,132,39,151,62,165,82,169,97,180,145,187,210,190,263
10,2,623.9671465710354,,70,10,70,10,126,32,126,32,145,61,163,94,168,108,176,147,186,235,187,261
10,3,634.2152631402054,,75,15,75,15,127,31,127,31,146,53,164,85,173,114,181,149,190,226,192,276
10,4,652.4024831344528,,70,12,70,12,128,31,128,31,151,47,166,84,172,98,187,174,194,238,196,290
10,5,655.9847559204405,,75,13,75,13,128,32,128,32,151,45,164,73,172,99,187,170,195,242,197,297
10,6,657.0958834142853,,70,8,70,8,126,27,126,27,149,43,163,71,167,81,186,168,195,253,197,308
10,7,692.8217664017204,,75,8,75,8,131,20,131,20,156,43,173,78,177,84,195,158,207,266,210,335
10,8,676.9844902211571,,70,7,70,7,122,21,122,21,141,36,166,82,172,100,191,172,199,246,204,339
10,9,703.2780389006897,,80,11,80,11,132,24,132,24,154,45,173,78,180,97,202,187,208,242,213,345
10,10,690.2463328406751,,68,10,68,10,126,28,126,28,144,45,161,74,172,92,192,172,202,257,207,354
11,1,693.6728335461898,,71,12,71,12,126,31,126,31,143,46,164,78,172,92,190,157,203,267,207,357
11,2,690.2115617692882,,68,14,68,14,125,28,125,28,140,42,162,76,166,83,185,137,201,277,205,366
11,3,684.2389933349311,,68,13,68,13,121,28,121,28,139,46,160,74,165,83,183,135,199,267,204,370
11,4,636.4730944823983,,66,12,66,12,112,20,112,20,124,34,146,58,152,68,172,138,184,228,191,361
11,5,700.4327233931892,,74,13,74,13,126,27,126,27,147,50,168,76,176,94,195,169,205,253,211,362
11,6,684.9058329434785,,66,9,66,9,115,20,115,20,138,45,156,74,165,96,186,172,199,284,202,347
11,7,643.2674404942318,,67,11,67,11,119,19,119,19,136,43,146,62,154,78,176,147,190,257,193,329
11,8,629.117636058631,,65,9,65,9,117,20,117,20,135,43,150,71,156,83,178,163,186,242,189,305
11,9,615.8035401002498,,61,8,61,8,118,26,118,26,131,41,147,73,153,88,174,159,182,237,185,294
11,10,610.6275460540575,,60,14,60,14,115,30,115,30,134,46,149,79,157,96,173,157,181,231,184,283
12,1,590.8840833869194,,60,12,60,12,116,34,116,34,135,55,149,84,154,94,169,149,176,213,179,265
12,2,556.7656598605917,,53,12,53,12,106,33,106,33,125,56,140,79,142,85,158,153,164,210,166,246
12,3,531.6135814668395,,44,7,44,7,102,33,102,33,119,51,134,76,136,80,149,141,156,202,158,241
12,4,561.2904773822553,,57,9,57,9,111,33,111,33,131,57,141,75,146,86,162,169,165,194,168,243
12,5,613.5910690353959,,74,9,74,9,130,30,130,30,150,51,162,70,170,88,179,134,186,201,189,276
12,6,603.0845711838432,,76,10,76,10,129,26,129,26,148,52,161,68,168,87,177,132,183,190,186,271
12,7,610.4023263389483,,79,12,79,12,133,26,133,26,149,47,162,63,170,84,180,133,186,191,189,275
12,8,680.9904551460321,,95,13,95,13,154,28,154,28,173,49,190,71,195,88,203,124,210,183,215,311
12,9,646.4309707927058,,85,9,85,9,144,25,144,25,159,36,174,57,179,72,188,110,198,196,202,312
12,10,652.7878675343162,,82,9,82,9,139,23,139,23,153,37,171,59,175,68,191,133,198,193,203,329
13,1,640.0921808614756,,78,11,78,11,130,25,130,25,149,40,165,62,169,68,184,123,193,198,198,331
13,2,591.6105137672927,,65,11,65,11,111,24,111,24,129,34,146,57,152,67,167,118,176,193,182,320
13,3,582.3976304896853,,59,9,59,9,108,21,108,21,128,32,144,57,149,66,163,110,173,192,179,320
13,4,577.1802144911068,,59,9,59,9,99,16,99,16,118,29,139,51,146,63,159,114,168,185,176,335
13,5,555.865091546501,,57,10,57,10,93,16,93,16,113,32,125,47,133,60,151,114,161,188,168,326
13,6,564.0372328135794,,58,9,58,9,100,20,100,20,117,29,133,55,143,75,156,122,165,190,171,312
13,7,605.9678209278113,,67,11,67,11,112,28,112,28,128,44,147,69,158,91,169,138,178,208,183,312
13,8,617.6625292180189,,67,10,67,10,117,26,117,26,132,43,154,77,161,95,172,138,183,220,187,307
13,9,623.272011243887,,70,12,70,12,121,29,121,29,139,54,156,75,163,95,179,162,185,217,188,291
13,10,779.6826277402877,,121,15,121,15,172,30,172,30,188,47,208,83,215,98,231,164,239,232,242,352
14,1,778.4702948732212,,121,13,121,13,172,30,172,30,185,43,205,78,215,100,229,151,239,238,242,357
14,2,758.2789724105502,,115,11,115,11,170,29,170,29,184,47,205,87,215,113,223,143,233,229,236,334
14,3,741.9211548405935,,121,12,121,12,168,31,168,31,183,50,203,79,213,109,223,148,228,194,233,326
14,4,707.7322940208395,,118,13,118,13,166,27,166,27,179,46,197,74,202,90,214,145,218,178,223,305
14,5,709.3708480054703,,108,8,108,8,162,27,162,27,175,41,197,81,200,91,213,147,218,184,223,319
14,6,674.5035211175699,,100,7,100,7,155,27,155,27,173,47,185,71,190,81,202,129,207,170,213,311
14,7,538.5387636930141,,59,8,59,8,110,28,110,28,125,46,136,72,143,89,155,137,159,170,164,252
14,8,530.3819378523367,,62,11,62,11,112,31,112,31,124,54,136,78,142,95,151,129,157,184,159,226
14,9,543.4243277587046,,60,10,60,10,117,39,117,39,128,57,139,83,145,100,150,116,160,204,161,227
14,10,516.4929815592851,,58,12,58,12,112,39,112,39,123,50,132,74,137,89,145,120,153,191,154,213
15,1,500.46378490356324,,49,9,49,9,103,31,103,31,114,41,125,75,129,88,138,115,147,188,149,225
15,2,467.02569522457753,,60,14,60,14,96,28,96,28,111,44,120,66,123,74,133,112,139,156,142,207
15,3,424.84703129479436,,45,9,45,9,81,25,81,25,94,35,104,60,110,76,119,109,125,159,127,191
15,4,463.77904221730415,,55,8,55,8,92,22,92,22,105,42,116,64,121,75,131,114,138,172,140,205
15,5,483.7178929913592,,52,6,52,6,94,23,94,23,108,42,119,63,125,71,137,131,143,183,145,216
15,6,551.8994473633761,,69,7,69,7,111,21,111,21,123,34,134,50,142,68,155,128,165,223,166,251
15,7,541.9981549784095,,67,9,67,9,103,19,103,19,115,28,132,56,138,70,152,126,161,204,164,266
15,8,577.3162045188061,,75,12,75,12,109,18,109,18,128,36,142,57,150,77,163,135,172,223,174,271
15,9,598.0752461020269,,71,8,71,8,108,20,108,20,125,31,147,64,153,80,166,139,177,229,180,297
